iter	MultiClass
0	1.081519555
1	1.065838268
2	1.051404674
3	1.037929784
4	1.025436542
5	1.013665715
6	1.002545574
7	0.9921541764
8	0.9825187911
9	0.9734018268
10	0.9648879881
11	0.9568869569
12	0.9494383438
13	0.9424811344
14	0.9358849471
15	0.9296439934
16	0.923810771
17	0.9183838407
18	0.9131705627
19	0.9083368112
20	0.9036604797
21	0.8993095203
22	0.895113639
23	0.8912292018
24	0.8876340336
25	0.8841233676
26	0.880827921
27	0.8777778117
28	0.874755417
29	0.8720449624
30	0.8693940214
31	0.8669689143
32	0.8646318168
33	0.8623968185
34	0.8602303334
35	0.8581938811
36	0.8562700444
37	0.8544248127
38	0.8526417572
39	0.8509676819
40	0.8493240482
41	0.8478784758
42	0.8464159062
43	0.8450612892
44	0.8437653397
45	0.8424730119
46	0.8412837872
47	0.8401515718
48	0.8391178208
49	0.8380876425
50	0.8371752504
51	0.8362326936
52	0.8353321548
53	0.8343735907
54	0.8335768227
55	0.8328184333
56	0.8320652329
57	0.8313225637
58	0.8307045342
59	0.8301017193
60	0.829464085
61	0.8288790218
62	0.8283287709
63	0.8278224982
64	0.8273459409
65	0.8268188612
66	0.8263381445
67	0.8259094729
68	0.8254324585
69	0.824982152
70	0.8246565694
71	0.8242504988
72	0.823893416
73	0.8235746964
74	0.8232308644
75	0.8228931412
76	0.8225573861
77	0.822223579
78	0.821932501
79	0.8216277795
80	0.8213189793
81	0.8209727837
82	0.8207162102
83	0.8204943311
84	0.8202307264
85	0.8199940684
86	0.8197315228
87	0.8195034416
88	0.819275967
89	0.8191020453
90	0.818910303
91	0.8186960108
92	0.818454765
93	0.8182732477
94	0.8180384114
95	0.8178299725
96	0.817652001
97	0.8175018565
98	0.8173636281
99	0.8171851498
100	0.8170356596
101	0.8168987679
102	0.8167410624
103	0.8166006654
104	0.8164030294
105	0.8162824556
106	0.8161490501
107	0.8159931955
108	0.8158389878
109	0.8157124191
110	0.815546013
111	0.8154195628
112	0.8152910641
113	0.815145652
114	0.8150102776
115	0.8148860786
116	0.8147467318
117	0.8146344195
118	0.8145197949
119	0.8143779038
120	0.8142531009
121	0.8141193714
122	0.8140236074
123	0.8138954123
124	0.813794511
125	0.8137020816
126	0.8136029667
127	0.8135134828
128	0.8134152878
129	0.8133277048
130	0.8132267389
131	0.8131292636
132	0.8130546026
133	0.8129446131
134	0.8128604269
135	0.8127768427
136	0.812672552
137	0.8125904871
138	0.8124995631
139	0.8124113149
140	0.8122948427
141	0.8121961841
142	0.8121068144
143	0.8120197256
144	0.811939867
145	0.8118511902
146	0.8117450623
147	0.8116568403
148	0.8115493122
149	0.8114726981
150	0.8113787182
151	0.8113052185
152	0.8112237393
153	0.8111501338
154	0.8110811182
155	0.8109949015
156	0.8109154056
157	0.8108442372
158	0.8107454157
159	0.8106749166
160	0.8106215069
161	0.8105437041
162	0.8104451284
163	0.8103766565
164	0.8102970783
165	0.8101976625
166	0.8101414735
167	0.8100602286
168	0.8099906844
169	0.8099117849
170	0.8098283853
171	0.8097719224
172	0.809730077
173	0.8096684414
174	0.8095995009
175	0.8095242766
176	0.8094704465
177	0.8094222124
178	0.8093570849
179	0.8092830229
180	0.8092196252
181	0.8091575961
