iter	Passed	Remaining
0	84	126834
1	109	81800
2	130	65300
3	155	58169
4	181	54283
5	206	51482
6	232	49632
7	257	48069
8	283	46891
9	308	45943
10	333	45195
11	356	44159
12	380	43470
13	405	43053
14	432	42791
15	454	42175
16	478	41711
17	502	41363
18	528	41180
19	551	40808
20	577	40640
21	599	40271
22	625	40150
23	651	40050
24	676	39914
25	701	39770
26	726	39649
27	753	39623
28	778	39506
29	801	39280
30	825	39116
31	849	38953
32	874	38892
33	899	38792
34	924	38699
35	946	38499
36	969	38343
37	995	38314
38	1021	38250
39	1046	38190
40	1072	38169
41	1103	38308
42	1133	38402
43	1154	38209
44	1180	38171
45	1206	38151
46	1234	38163
47	1260	38132
48	1286	38091
49	1311	38026
50	1335	37943
51	1362	37933
52	1388	37920
53	1415	37906
54	1442	37908
55	1469	37880
56	1524	38599
57	1550	38551
58	1576	38499
59	1601	38424
60	1626	38358
61	1651	38303
62	1674	38186
63	1699	38135
64	1725	38102
65	1751	38057
66	1776	37997
67	1798	37873
68	1826	37874
69	1851	37831
70	1874	37717
71	1898	37649
72	1924	37610
73	1947	37531
74	1971	37466
75	1997	37422
76	2024	37411
77	2047	37336
78	2072	37271
79	2100	37284
80	2121	37169
81	2148	37147
82	2174	37131
83	2200	37090
84	2225	37043
85	2253	37048
86	2278	37012
87	2305	36996
88	2332	36981
89	2357	36937
90	2381	36867
91	2405	36811
92	2431	36788
93	2457	36752
94	2484	36739
95	2508	36685
96	2534	36663
97	2559	36613
98	2584	36576
99	2611	36565
100	2638	36541
101	2664	36523
102	2689	36471
103	2714	36438
104	2740	36414
105	2766	36387
106	2792	36354
107	2818	36326
108	2842	36276
109	2868	36246
110	2894	36215
111	2917	36156
112	2943	36123
113	2970	36110
114	2996	36092
115	3023	36078
116	3051	36073
117	3077	36048
118	3102	36000
119	3127	35967
120	3152	35924
121	3174	35860
122	3200	35829
123	3227	35818
124	3254	35794
125	3280	35777
126	3305	35738
127	3330	35696
128	3357	35682
129	3384	35662
130	3410	35644
131	3438	35631
132	3463	35593
133	3487	35548
134	3514	35539
135	3535	35462
136	3564	35459
137	3590	35435
138	3616	35406
139	3643	35390
140	3669	35367
141	3696	35355
142	3724	35339
143	3749	35311
144	3771	35247
145	3796	35209
146	3823	35188
147	3845	35127
148	3868	35080
149	3894	35050
150	3920	35022
151	3947	35009
152	3973	34983
153	3999	34956
154	4025	34928
155	4048	34877
156	4073	34841
157	4096	34793
158	4122	34769
159	4149	34756
160	4175	34730
161	4202	34709
162	4229	34695
163	4254	34661
164	4278	34620
165	4305	34599
166	4331	34574
167	4357	34549
168	4384	34528
169	4409	34494
170	4435	34474
171	4460	34442
172	4485	34405
173	4512	34391
174	4532	34318
175	4558	34295
176	4583	34256
177	4608	34225
178	4632	34189
179	4658	34161
180	4681	34115
181	4708	34096
182	4733	34068
183	4757	34025
184	4784	34009
185	4807	33964
186	4834	33942
187	4860	33918
188	4886	33895
189	4913	33879
190	4936	33835
191	4962	33807
192	4987	33777
193	5011	33734
194	5035	33696
195	5058	33654
196	5084	33632
197	5110	33602
