Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,161227.49017653757,161951.29484624145,157789.41799544418,158875.125,91630,41.83266507385257,-251.78524402168114,-183.37540008848168,매도
2022-01-24,158332.28964913587,158332.28964913587,148018.07192342074,151818.046875,242400,36.2069140063684,-754.2082208041393,-301.70532846070637,매도
2022-01-25,152179.935546875,154532.30078125,147113.302734375,149103.765625,189345,35.59325258659726,-1290.584358040156,-505.2092608392747,매도
2022-01-26,149827.56637773724,150732.32221335158,142951.42202706813,148741.859375,204025,40.229893803804856,-1706.026292954397,-750.9052490674533,매도
2022-01-27,147294.27612770014,148379.9833227446,142046.69135165185,142408.59375,191885,26.819957976729384,-2402.555630921619,-1087.2951878500971,매도
2022-01-28,143494.28308374083,148018.0625,139332.4060207824,148018.0625,127570,40.40000414476275,-2548.7814928567386,-1383.86649177574,매도
2022-02-03,152541.84187726997,155256.1095263317,149103.76952179175,149465.671875,116295,38.68313532237397,-2536.366394100158,-1617.0549521464995,매도
2022-02-04,148379.96474168648,152541.84180151427,145846.64827048694,152360.890625,111850,41.10671059897705,-2304.8291266748274,-1755.890317276633,매도
2022-02-07,152903.75610351562,153446.60967548078,150189.4882436899,150551.390625,90380,34.29753098225487,-2219.4821495127107,-1849.2979101076467,매도
2022-02-08,150551.390625,150551.390625,150551.390625,150551.390625,0,34.29753098225487,-2126.979227122065,-1905.163948393948,매도
2022-02-09,150551.390625,150551.390625,150551.390625,150551.390625,0,39.150966643518,-2030.0290540658461,-1930.255460845735,매도
2022-02-21,150551.3789346247,151456.13481764527,148379.9648153753,149465.671875,79300,58.297853577340476,-579.1287232476461,-382.44685431324575,매도
2022-02-22,149465.671875,149465.671875,149465.671875,149465.671875,0,51.9607838987445,-911.8504868570017,-488.394733268172,매도
2022-02-23,149465.671875,149465.671875,149465.671875,149465.671875,0,50.0,-1161.4671867444413,-623.0775162476996,매도
2022-02-24,150008.52544315404,151998.98838630808,145846.6483801956,148018.0625,80390,43.61702274246109,-1451.6385176494368,-788.8569646615789,매도
2022-02-25,150008.51188093118,155617.99784994067,148741.8537588968,152541.828125,115585,52.709324612768285,-1321.7138272352167,-895.4629327908953,매도
