Date,open,high,low,close,volume,rsi,macd,signal,action
2024-05-09,162016.87787261984,185624.50755088642,144977.5,144977.5,7369568.0,0.0,-247.7431390224374,-137.63507723468743,매도
2024-05-10,144787.12243044018,171916.859375,138599.63856589148,171916.859375,7383735.0,70.92734809266324,519.713989388285,131.77027793866188,매도
2024-05-13,171916.85425284386,189622.57678386764,166966.86730868666,184101.4375,7464118.0,77.98863589997873,1295.9512182921753,526.140515185787,매도
2024-05-14,183149.512743309,197523.5129638078,176486.06893248175,195619.671875,3930226.0,82.09878200640154,2148.8009366512124,1008.8453050077245,매도
2024-05-16,192287.96764853978,195619.6898602719,184482.21846676737,189051.4375,1385823.0,74.19807969971872,2340.2274159197113,1369.7238804782733,매도
2024-05-17,187909.11258278144,191336.02649006623,181055.28476821192,186862.0,1392900.0,71.89190148382038,2323.4962710744003,1611.0982282061118,매도
2024-05-20,184767.77860795453,186862.00381628788,156686.12240530303,157066.890625,1749222.0,50.52232345083897,857.8690942551184,1430.0831028406847,매도
2024-05-21,157638.07545180724,164777.4810429217,147928.48384789156,158018.84375,1947448.0,50.98779251176671,-122.87315102410503,1071.342503942215,매도
2024-05-22,156210.16668293255,161731.30602943472,151355.37174031857,152402.484375,1177279.0,48.30660397094369,-1106.0927091343328,583.4706162724162,매도
2024-05-23,151355.3441257515,152212.07248872746,141360.17989103205,142502.484375,915526.0,44.20880865490255,-2328.4988805551257,-53.6516708258911,매도
2024-05-24,140598.68221801348,150022.69680134678,140408.29808501684,141360.21875,1040127.0,43.78030507835914,-3255.772817239893,-741.3330012999875,매도
2024-05-27,142978.46005930658,145358.26132527372,128794.84451414234,130413.109375,1295097.0,40.059134714421205,-4518.65729557944,-1540.7460577013399,매도
2024-05-28,130222.73901712584,134696.7658693224,125748.71216492927,127842.9375,1189522.0,39.275373437456324,-5554.212546483148,-2380.366241665042,매도
2024-05-29,127557.35538827258,128414.08389461173,119941.99088748019,120132.375,692470.0,37.09788771645286,-6721.867518588406,-3280.331198974604,매도
2024-05-30,119846.79510161042,135172.71568251532,118990.0666219325,124130.4375,2695771.0,42.10526564932689,-7280.909170874947,-4103.620322028444,매도
2024-05-31,125082.36981154581,129080.43642652672,121084.30319656488,124701.6015625,867268.0,27.657671279518254,-7581.554638746078,-4815.231238667001,매도
2024-06-03,127081.396484375,130127.54231770833,124987.17122395833,125653.515625,509833.0,19.05243882038343,-7658.709601413284,-5394.359559577263,매도
2024-06-04,126986.18863636364,139646.73068181818,124035.23522727273,136124.625,1272727.0,18.14475965278244,-6953.140201009286,-5710.674263163517,매도
2024-06-05,135648.6738445378,141931.3492647059,132507.3361344538,135934.25,1059288.0,19.474843391893984,-6337.828689096408,-5837.568135087535,매도
2024-06-07,134791.94401140686,138314.04989306084,125177.546875,125177.546875,633980.0,17.72909509646027,-6498.116402402578,-5970.907628303682,매도
2024-06-10,123083.32699913131,135363.10208257133,121084.29384601317,130127.5390625,808844.0,30.955597669805798,-6212.758345253213,-6019.637333453463,매도
2024-06-11,130317.91732436132,134030.40729927007,126129.46709625912,130413.109375,405338.0,30.29888755994466,-5898.3953954865865,-5995.244958693835,관망
2024-06-12,132316.95215650825,140313.08451704547,131555.415741219,138218.859375,649497.0,40.18444445213372,-5047.995454174641,-5804.896161007749,관망
2024-06-25,132031.375,135839.0570475847,130889.07038572458,132031.375,209843.0,46.38656055650454,-2505.689540275751,-2794.8784534285965,관망
2024-06-26,133744.84526247208,134315.99762658228,127462.16925725987,127842.9375,191108.0,43.32810759052028,-2869.8390026895504,-2809.8781690401865,매도
2024-06-27,127795.17975983796,127795.17975983796,123688.15978250386,123783.671875,165170.0,48.70793638287074,-3425.3587221320777,-2933.0242336370293,매도
2024-06-28,124070.21446514424,125598.40802283653,123592.65397836539,124165.7265625,77781.0,43.96234703165133,-3791.727461058181,-3104.8206302394087,매도
2024-07-01,125216.36487337084,127986.21581259873,120440.75980573657,120918.3203125,184597.0,40.928621768656505,-4280.024918185431,-3339.922523769774,매도
2024-07-02,120918.30532309321,122159.96248675846,112513.24144597458,112704.265625,268633.0,25.811918436803154,-5235.8664463272,-3719.190079070697,매도
2024-07-03,113945.92628909444,117384.36161718112,108501.73701962388,116811.2890625,274491.0,25.562672506209154,-5611.13045567197,-4097.641035341714,매도
2024-07-04,107928.6529716582,120249.71158523689,106495.97173752115,112895.28125,170452.0,11.395897404888913,-6139.590875662208,-4506.085294960273,매도
2024-07-05,114232.46339588634,115951.68107241306,111749.14897423664,112608.7578125,108694.0,13.608928252153646,-6504.791245555782,-4905.868997374536,매도
2024-07-08,112704.26748014214,117479.87203438545,112704.26748014214,114232.4609375,123096.0,19.118800266942984,-6591.30266819628,-5242.9844101465305,매도
2024-07-09,114710.01740691489,115569.6261968085,111844.65477393617,112226.703125,100725.0,18.687933977861576,-6738.09974116995,-5542.027828191635,매도
2024-07-10,112990.79416167665,114041.42707442258,111558.1129170231,111653.625,100435.0,17.605730392065354,-6820.139689440242,-5797.664118604872,매도
2024-07-11,112226.70019283601,113086.3089602705,110794.01891377853,112990.796875,107400.0,23.452877119174005,-6702.708282909807,-5978.680835855876,매도
2024-07-12,113181.82935322124,119199.09116693679,111749.14796900324,117861.921875,223914.0,31.745857292216442,-6155.882767664429,-6014.122457177846,매도
2024-07-15,120345.22965350524,120345.22965350524,115187.5769540693,118530.5,120398.0,32.901708610173145,-5605.2052989588265,-5932.336745681151,관망
2024-07-16,119294.60346611815,119963.18811324611,116047.19232292518,116811.2890625,105205.0,35.09678192883317,-5243.804771127223,-5794.6272797466545,관망
2024-07-19,124261.22989981693,126744.54425600081,116524.75055939789,117384.359375,259086.0,46.8267480640825,-3118.624777961857,-4583.138820468373,관망
2024-07-29,134194.5009443078,138492.54545853828,129514.40802881237,135913.71875,299851.0,71.9081302213518,784.1767997012212,-1759.1872326217613,매도
2024-08-05,116524.74325379127,117766.40035403658,102388.9547279215,107069.046875,231495.0,43.95734442139063,-809.2044076718739,-260.6385523438024,매도
2024-08-06,108788.26667513912,114423.479786494,106018.41616277826,111558.1171875,144202.0,36.93333320245994,-1690.5027171381225,-546.6116096879131,매도
