Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,67288.37949810606,68230.07437657828,66860.33637152778,67802.03125,216400,37.87877321379436,-283.5856928489811,-144.35948540543814,매도
2022-01-24,67802.03532963445,68230.07848196801,65233.776415633154,65576.2109375,333545,31.645576200319866,-430.21961997535254,-203.6164307326616,매도
2022-01-25,65148.167013188846,65576.21016045027,62836.73401797715,63692.8203125,429846,29.411786809960034,-650.3041653919645,-295.541436551727,매도
2022-01-26,63692.8203125,63692.8203125,63692.8203125,63692.8203125,0,30.487836772305556,-810.0790894057136,-400.8196210857118,매도
2022-01-27,64206.47128202908,65319.38345091759,61638.21243074792,61809.4296875,472284,23.595506194030563,-1041.2436645491107,-531.2541289830423,매도
2022-01-28,62665.51767314189,63778.42987225507,61552.605474028715,63350.38671875,393314,31.914913240251437,-1107.3804054976936,-648.1642364992391,매도
2022-02-03,64035.252408679626,65319.38180190181,63778.42653003519,63864.03515625,225616,36.46406402399135,-1111.5102324821637,-741.914300342455,매도
2022-02-04,64206.47449418414,65490.60398406782,63949.6485962074,65319.38671875,249415,31.5476230893144,-1005.0941122433505,-795.0402632432846,매도
2022-02-07,66004.24712413878,66004.24712413878,64805.72642408957,65233.76953125,224120,30.952363492266542,-916.472434005751,-819.5072317583607,매도
2022-02-08,65233.76953125,65233.76953125,65233.76953125,65233.76953125,0,32.098774125350005,-836.8772087901525,-823.0018557839298,매도
2022-02-09,65233.76953125,65233.76953125,65233.76953125,65233.76953125,0,35.37414480323142,-765.1795138673988,-811.3825166228162,관망
2022-02-10,66089.8560812982,66945.94229996786,65918.63883756427,66603.5078125,275077,45.03313099373642,-605.2231474332657,-769.9942824570585,관망
2022-02-11,65918.64125,66175.46712500001,63692.817,64206.46875,645124,40.718568764204456,-641.9242098684408,-744.3026196530534,관망
2022-02-14,63264.77372206126,64805.728968336094,63179.16509726822,64634.51171875,364286,38.50932152303832,-632.6779360560977,-721.9235737207705,관망
2022-02-15,64634.51171875,65148.16346750828,64548.90309395696,64634.51171875,215429,38.50932152303832,-618.0942055985142,-701.1174552101215,관망
2022-02-16,65062.560820773266,65661.82124938564,64976.95218811435,65319.38671875,189127,48.95105720708432,-550.157197768036,-670.8786113773016,관망
2022-02-21,66089.8671875,66089.8671875,66089.8671875,66089.8671875,0,73.148135629884,-268.41064592957264,-510.1446751844837,매도
2022-02-24,64206.47075347693,64377.68800881953,62408.689572379575,63093.55859375,312305,37.254911609372385,-328.4312451857986,-376.41934776643296,관망
2022-02-25,63607.21335716093,64206.47377909919,63179.170198633605,63435.99609375,188551,40.000060838775504,-439.9042317508138,-389.1204463054369,매도
2022-02-28,63435.99609375,63435.99609375,63435.99609375,63435.99609375,0,40.000060838775504,-522.0567742228086,-415.7146161301331,매도
2022-03-02,64120.86439505912,64463.298917863176,63350.38671875,63350.38671875,210499,39.62269917523288,-586.8327713177569,-449.9453566143091,매도
2022-03-03,63007.952935222675,63778.43062057186,62066.25798646255,63435.99609375,287319,29.670422790863967,-624.2696249736982,-484.81600416630664,매도
2022-03-04,63435.99609375,63435.99609375,63435.99609375,63435.99609375,0,42.85721528412017,-646.4058834180614,-517.1382763835694,매도
2022-03-07,62751.124252903006,63692.819159836065,62579.906997096994,62665.515625,305662,32.83590932772164,-715.3662362157775,-556.7880846408241,매도
2022-03-08,62408.69215004281,63007.95256849315,61980.64899400685,62494.30078125,242903,31.884160518874538,-774.3115388669394,-600.2964767707108,매도
2022-03-10,62494.30078125,62494.30078125,62494.30078125,62494.30078125,0,22.950882211257948,-811.5879304335758,-642.5576436492627,매도
2022-03-11,62751.127229110054,63179.17038892663,62494.30133322011,63007.953125,197369,21.666960719598222,-791.7845705699874,-672.4046540592232,매도
2022-03-14,62665.50958218232,63093.55268042127,61638.20614640884,61980.640625,194752,15.71430247596004,-846.7870761860831,-707.2826576359054,매도
2022-03-15,61980.640625,61980.640625,61980.640625,61980.640625,0,15.71430247596004,-880.1661200977178,-741.8605549921404,매도
2022-03-16,60867.73314116379,62066.25390625,60610.90726293103,62066.25390625,290584,16.901484483901,-889.5751738943509,-771.4043023320595,매도
2022-03-17,62066.25390625,62066.25390625,62066.25390625,62066.25390625,0,16.901484483901,-886.7682398657562,-794.4776043906289,매도
2022-03-21,64206.47397248641,64548.908500339676,62922.34449303668,63007.953125,163982,46.75325906669124,-637.0053094289251,-745.8330736613052,관망
2022-04-07,63350.37739244579,63692.81186483739,62579.899829564696,63179.16015625,207878,42.718388538671796,41.82387674204074,-0.10230532503396324,관망
2022-04-12,64120.868023405346,64120.868023405346,62151.86940586419,62408.6953125,213766,38.00001003841518,-111.98396458964999,-17.45180811223972,매도
2022-04-13,62922.34173943014,64035.25390625,62494.29859834559,64035.25390625,119235,47.008560341633675,-84.86673536772287,-30.9347978966022,매도
2022-04-14,63864.036649816175,64377.68841911764,63521.60213694853,64035.25390625,153254,52.884571088609526,-62.654563476236945,-37.2787526436239,매도
2022-04-15,63093.559515688954,63692.81991814461,62408.69048431105,62751.125,146515,44.34784747827957,-146.50572424946586,-59.1241514581302,매도
2022-04-18,62237.47562735123,62836.736052924076,61895.041098452464,62579.91015625,120298,41.071420568872874,-224.12668462930014,-92.12466352261349,매도
2022-04-19,62751.127229110054,63179.17038892663,62494.30133322011,63007.953125,116000,44.7368579048296,-248.37036181995063,-123.37380729572958,매도
2022-04-20,62751.125388524866,64206.47208921371,62751.125388524866,63692.8203125,176968,40.566017024848534,-210.09750529124722,-140.71854872144758,매도
2022-04-21,64292.0859375,64377.69457390146,63521.608209886814,64292.0859375,174414,45.04510096590019,-130.07407704298384,-138.5896542063958,관망
2022-04-22,63521.59462864159,63607.2032467395,63007.9429200542,63179.16015625,168464,42.73502506871667,-154.40021276230982,-141.7517661307045,매도
2022-04-25,62494.30712354052,63350.39352249313,62237.48120385474,62323.08984375,192840,40.00002190199877,-239.79099716966448,-161.3596133957495,매도
2022-04-26,62836.74094093879,62836.74094093879,61980.654552097665,62237.48046875,185533,41.32234864311648,-310.7673311609324,-191.24115823775384,매도
2022-04-27,60867.73271730568,61381.38447019433,60525.2982153799,61124.55859375,216299,40.32260557264605,-451.39072231719183,-243.2710728491278,매도
2022-04-28,61552.606569553696,62579.91015625,61210.17204065493,62579.91015625,247673,44.776141257008675,-440.58660999555286,-282.73418136787024,매도
2022-04-29,62151.86459754434,62836.73362892224,62066.25596862211,62751.125,252247,43.93940860441787,-413.4703069712996,-308.8814070660329,매도
2022-05-02,62237.4653571731,63179.16015625,62151.8567390752,63179.16015625,118119,53.84609084729476,-353.4344445962488,-317.7920147295129,매도
2022-05-03,62579.909965183426,63435.996284816574,62579.909965183426,63007.953125,120969,44.000010951008385,-316.00264528361004,-317.43414083527387,관망
2022-05-04,62922.34356524493,63778.42987225507,62836.734934543914,63350.38671875,151006,46.15385290372852,-255.80369756330765,-305.1080520414994,관망
2022-05-06,63093.56760280734,63350.39352249313,62151.87256395948,62323.08984375,192431,47.52479452160002,-287.54591802357754,-301.5956252061407,관망
2022-05-10,61723.819133462624,61809.42775916785,59583.60349083216,60696.515625,274237,40.677941196373645,-438.70453041837027,-329.0174064470382,매도
2022-05-11,60097.26151432108,60953.34786067893,60011.65287968529,60525.3046875,168605,37.3913033127592,-565.7705484023754,-376.368035112247,매도
2022-05-12,60610.911279506436,60953.34580650929,59840.43359375,59840.43359375,324238,30.434782608695656,-713.4390761801405,-443.782243638067,매도
2022-05-13,60610.906500000005,64206.46875000001,60525.297875000004,64206.46875,474540,49.6855028252803,-473.11247882596945,-449.64829069738323,매도
2022-05-30,66261.08035714286,70199.07738095238,66089.86309523809,70113.46875,1023699,76.69909149063227,776.1871800159861,287.1650546142851,매도
2022-05-31,70113.47178927681,70113.47178927681,68658.125,68658.125,1117702,71.49324873136273,1029.7365413271327,435.6793519946707,매도
2022-06-02,70199.08042394015,70199.08042394015,68230.0818266833,68658.125,341482,74.17845404267598,1216.6495356368978,591.8733887549333,매도
2022-06-10,69599.8087291151,69856.63459158415,68829.33114170792,69171.765625,302694,70.25316126692107,1642.1020377271198,1234.9709219119197,매도
2022-06-14,66261.06726866883,66346.67588271103,64720.11221590909,65918.6328125,251534,54.597677789260835,1197.110610668984,1258.9831147965615,매도
2022-06-15,65490.59539554626,66089.85574557087,64548.90055979331,65233.76953125,289979,53.0725893841056,944.5258531878208,1196.091662472664,매도
2022-06-16,65747.42709677419,68401.2945967742,65661.81846774193,66346.6875,246087,55.555563603020786,824.629191576707,1121.7991682914414,매도
2022-06-17,65918.64803685897,67373.99481169872,65148.17033253205,66774.734375,281782,61.11110406958336,755.4350296860794,1048.5263405687663,매도
2022-06-20,66774.72640810277,67031.55227890317,64463.29357089921,64976.9453125,216021,53.09276932032669,549.2266013512126,948.6663927235081,매도
2022-06-21,66346.68824500644,67288.38317493557,65062.5587951031,66432.296875,295841,34.53241401224959,497.4854389286047,858.4302019632643,매도
2022-06-22,66004.25048053075,66517.90223524305,64463.295216393846,64720.12109375,343081,33.80284088809485,314.7154587528057,749.6872533199547,매도
2022-06-23,65661.81749360984,66346.68651570746,64720.1225882256,64891.33984375,331946,34.72225082837251,181.5898015525163,636.0677629654492,매도
2022-06-24,64634.51673525098,66603.5152583116,64634.51673525098,65661.8203125,268252,38.81584240210471,136.67445958501776,536.1891022886471,매도
2022-06-27,65747.43396226414,68401.30173938679,65661.82532429245,68058.8671875,241476,47.752819645723605,291.1207106171496,487.1754239540666,매도
2022-06-29,68743.71897659206,69257.37067504729,67716.41557968159,67887.6328125,283084,44.72360956402946,561.7751977229782,505.94465260811575,관망
2022-06-30,67630.8278843068,68486.91431322208,66689.1328125,66689.1328125,363380,42.99522679870157,499.37384863085754,504.63049181266024,매도
2022-07-01,67630.8094783715,69171.76463104326,66603.506043257,67288.375,280501,52.173906574317236,492.59147249408124,502.22268794893876,매도
2022-07-04,67716.41733678344,68058.85181130574,66175.46220143313,67202.765625,227337,54.23729949591374,474.8353309129161,496.74521654172395,매도
2022-07-06,67973.24576237147,69257.37509037596,66261.07332503214,66603.5078125,270194,50.71768778474562,508.64298393506033,517.6569864655557,매도
