Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,21377.798828125,21424.576171875,20629.341796875,20722.8984375,4261710,18.8034062980757,-231.08161744891913,-127.81572201095629,매도
2022-01-24,20535.78515625,20769.677734375,20021.220703125,20161.556640625,3670033,17.05425378071405,-306.60271097589066,-164.87710115797722,매도
2022-01-25,20208.333984375,20348.669921875,19740.548828125,19880.884765625,3868015,20.952364667923746,-377.07664450109587,-208.54618526994,매도
2022-01-26,19880.884765625,19880.884765625,19880.884765625,19880.884765625,0,22.222208164108793,-426.1433524298409,-253.0681645483606,매도
2022-01-27,19693.771484375,19834.10546875,18056.521484375,18056.521484375,10503287,14.07405735012675,-573.5149441070134,-318.3332313827947,매도
2022-01-28,18103.298828125,18524.306640625,17541.95703125,18430.75,5831220,19.852926503469305,-655.7893126147501,-386.8113209042315,매도
2022-02-03,18758.19921875,18851.755859375,17869.40625,17916.185546875,5813623,11.764709494167533,-744.8300278827592,-459.2502260146568,매도
2022-02-04,17869.40625,18196.857421875,17775.849609375,18103.298828125,3346765,14.285705764779067,-792.3189233262274,-526.4840884032556,매도
2022-02-07,18196.857421875,18196.857421875,17635.513671875,18056.521484375,3195344,14.598532137604337,-822.7822112937174,-586.1842222172007,매도
2022-02-08,18056.521484375,18056.521484375,18056.521484375,18056.521484375,0,14.8148056510109,-836.6537206053836,-636.5755799684257,매도
2022-02-09,18056.521484375,18056.521484375,18056.521484375,18056.521484375,0,15.873008509243732,-837.5522088906655,-676.9616234509915,매도
2022-02-10,18851.755859375,18898.53515625,18337.193359375,18477.52734375,2605532,23.015856710372134,-799.1404849205064,-701.4900615641125,매도
2022-02-11,18290.4140625,18664.642578125,18196.857421875,18290.4140625,2207076,23.96692503820708,-773.0120487381173,-715.837822445371,매도
2022-02-14,17822.62890625,18243.634765625,17729.072265625,17962.96484375,2191551,17.499979123696278,-766.8318081993202,-726.061338541312,매도
2022-02-15,18056.521484375,18337.193359375,17916.185546875,18056.521484375,1607149,22.330071899634802,-746.3853997480292,-730.1340285107503,매도
2022-02-16,18477.52734375,18477.52734375,18056.521484375,18196.857421875,2275848,27.659552731775875,-711.636146478937,-726.4287184147304,관망
2022-02-17,18196.857421875,18243.634765625,17775.849609375,18056.521484375,3121359,28.571408907714783,-686.4418162743568,-718.4214254380736,관망
2022-02-18,17822.62890625,18009.7421875,17729.072265625,17962.96484375,2281696,27.95697235123383,-665.6535949168938,-707.8573972270387,관망
2022-02-21,17962.96484375,17962.96484375,17962.96484375,17962.96484375,0,48.14815387553534,-641.7104529208918,-694.6175186532962,관망
2022-02-22,17962.96484375,17962.96484375,17962.96484375,17962.96484375,0,39.13041899710091,-615.582960963904,-678.8005819407591,관망
2022-02-24,17635.513671875,17729.072265625,17120.94921875,17214.5078125,3205937,29.78723026232214,-615.7629326766655,-651.6623727832664,관망
2022-02-25,17448.400390625,17962.96484375,17401.62109375,17588.736328125,2384759,40.740737877049355,-602.20650544003,-641.7679884033108,관망
2022-02-28,17588.736328125,17588.736328125,17588.736328125,17588.736328125,0,40.740737877049355,-584.6726953692523,-630.3459644695497,관망
2022-03-02,17495.177734375,17635.513671875,17354.84375,17495.177734375,1436851,39.285687657783804,-571.3272972085615,-618.5397789685566,관망
2022-03-03,17682.29296875,17869.40625,17635.513671875,17822.62890625,1767673,37.03706853759353,-529.3932972834373,-600.7075197392583,관망
