Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,322071.6296921922,331816.61092342343,321584.38063063065,324507.875,580928,25.56395799658202,-1550.3972733392147,-1054.5083771188054,매도
2022-01-24,324507.86643835617,325482.36453576863,319148.12690258754,320122.625,494977,23.943707137643713,-1962.835849007417,-1242.7987500380639,매도
2022-01-25,321097.1743982919,323046.1709045031,309890.44448757765,313788.4375,799996,25.373182190637365,-2635.2873627769295,-1529.3625257966125,매도
2022-01-26,313788.4375,313788.4375,313788.4375,313788.4375,0,33.66342983708324,-3115.421680353058,-1853.8818829885215,매도
2022-01-27,299170.9617367987,307454.19683374587,295272.96875,295272.96875,949565,24.637739084768057,-4612.279113233904,-2415.6818169302246,매도
2022-01-28,289425.9610887097,303068.9356854839,289425.9610887097,302094.4375,974351,32.87672677098493,-5268.93901627895,-2994.677463449289,매도
2022-02-03,317199.2104621685,317686.45963338536,311839.46957878314,312326.71875,884438,41.317403673924595,-5044.491559524264,-3409.421961167652,매도
2022-02-04,313301.13645038166,321097.1211832061,312813.88740458013,319148.125,548945,38.74999098094454,-4359.317626135773,-3601.1696544738484,매도
2022-02-07,320122.62213302753,320609.87117737,312326.6374235474,318660.875,492656,36.53845046971036,-3809.58870762866,-3643.1633236923267,매도
2022-02-08,318660.875,318660.875,318660.875,318660.875,0,39.58330642463836,-3338.084670439828,-3581.7852810274967,관망
2022-02-09,318660.875,318660.875,318660.875,318660.875,0,38.297816208545036,-2932.4777731454233,-3451.3076160994633,관망
2022-02-10,318173.6344268476,328893.1136877828,318173.6344268476,323046.125,701866,45.32373237655979,-2277.7829890240682,-3215.7126380219797,관망
2022-02-11,318173.62690839695,322071.61927480914,315250.1326335878,319148.125,450896,46.32352247668955,-2015.1464037393453,-2974.8714934702675,관망
2022-02-14,317686.43051242235,318660.92876552796,309890.44448757765,313788.4375,424845,40.84506406113302,-2166.8739209541236,-2812.880308314469,관망
2022-02-15,316711.8941326531,317199.1432005495,307941.4109105181,310377.65625,335584,39.99999115370307,-2503.8113543291693,-2750.946720536022,관망
2022-02-16,314275.6599094761,317199.1544202619,311839.41448382125,316224.65625,447832,47.297310766252,-2316.093193322129,-2663.8412258688804,관망
2022-02-18,311352.18484669813,311839.43396226416,307454.1919221698,309890.4375,549382,47.29729027001963,-2445.658731707779,-2536.6909782905864,관망
2022-02-21,309890.4375,309890.4375,309890.4375,309890.4375,0,63.63637423729604,-2654.107664926094,-2560.1929357867666,매도
2022-02-22,309890.4375,309890.4375,309890.4375,309890.4375,0,58.33335560264773,-2786.3736399277695,-2605.4577666099485,매도
2022-02-23,309890.4375,309890.4375,309890.4375,309890.4375,0,46.6666096571304,-2857.636212560872,-2655.9190427069066,매도
2022-02-24,297221.9328512397,298196.43099173554,292349.44214876037,294785.6875,666538,22.826118781815055,-4010.937863607018,-2927.0327836858028,매도
2022-02-25,300145.4491255962,309403.1821343402,297221.954491256,306479.6875,857872,39.130478428713076,-3987.4999436797225,-3139.1950662816753,매도
2022-02-28,306479.6875,306479.6875,306479.6875,306479.6875,0,39.130478428713076,-3923.291381725692,-3296.055052551176,매도
2022-03-02,310864.9339511041,311352.18306388013,304043.44637223973,308915.9375,546099,41.66671120522405,-3643.188433092204,-3365.496151011277,매도
2022-03-03,310864.9181067588,318660.90351382486,310377.6690188172,317199.15625,580888,45.312518006807394,-2751.568520045781,-3242.690220183015,관망
2022-03-04,317199.15625,317199.15625,317199.15625,317199.15625,0,48.33335738416718,-2022.1043444098905,-2998.5405919762925,관망
2022-03-07,301119.93383550487,301607.1829193811,297221.94116449513,299170.9375,535033,39.72601837087018,-2809.527162601589,-2960.73388580277,관망
2022-03-08,294298.4421182266,301607.1782635468,293811.1930418719,296734.6875,559921,40.27778705664638,-3581.0288820219575,-3084.803439716975,매도
2022-03-10,296734.6875,296734.6875,296734.6875,296734.6875,0,34.84848705700921,-4144.023812148953,-3296.661932545249,매도
2022-03-11,296734.6875,296734.6875,296734.6875,296734.6875,0,34.84848705700921,-4537.372874275956,-3544.817631772782,매도
2022-03-18,336201.8740928882,337663.62137155293,332791.13044267055,335714.625,722326,75.0,1978.2071142764762,-1232.3682170769746,매도
2022-03-21,335714.625,335714.625,335714.625,335714.625,0,70.83332591023515,3373.370928299031,-311.2072407529928,매도
2022-03-29,325969.65536115266,329380.3991392215,323533.40980538924,325482.40625,323767,71.85183847929541,4136.1766169246985,3275.8381108815415,매도
2022-03-30,333278.3694690265,333278.3694690265,328405.8786873156,330354.875,454373,73.7930802649283,4290.363519982377,3478.743800029958,매도
2022-03-31,332791.18584801763,333278.4350220264,329867.69080396474,331816.6875,427064,74.32432432432432,4477.533065262425,3678.5021314026258,매도
2022-04-06,327918.6126893939,329380.35984848486,320609.8768939394,321584.375,647201,50.67565312991443,3513.2824013317004,3858.5962550247705,매도
2022-04-07,314762.90255062305,320122.64237733645,312813.90625,312813.90625,493204,32.59264115599477,2129.3227433486027,3512.7412813186793,매도
2022-04-08,313788.42772511847,316224.6732819905,303556.1963862559,308428.6875,626173,30.555617414541814,673.3754435728188,2944.8677573095188,매도
2022-04-11,303068.9100439297,305017.90625,300145.41573482426,305017.90625,507362,31.205722148307345,-745.2925203248742,2206.8353311662704,매도
2022-04-12,298196.4110615883,303068.9014384117,297221.91298622364,300632.65625,467984,23.18846641653876,-2195.9920966423233,1326.269491850865,매도
2022-04-13,298196.4456521739,303556.18568840576,296247.4492753623,302581.6875,519629,27.48100908861251,-3152.804067134566,430.4544921499382,매도
2022-04-14,303556.1590954473,307454.15150758787,300632.66478634183,305017.90625,459979,33.60660951610927,-3673.0558373626554,-390.24778476341436,매도
2022-04-15,301119.9052876823,305992.39566450566,297709.16202390596,300632.65625,369642,32.03130206300398,-4386.960406939266,-1189.5904736138395,매도
2022-04-18,298196.4696166395,300145.46615008154,297221.9713499184,298683.71875,209787,28.346507193270938,-5051.0370378573425,-1961.8799135431198,매도
2022-04-19,300145.4447115385,305992.4338942308,299658.1956129808,304043.4375,371024,28.90630010582349,-5087.826274148887,-2587.069267964428,매도
2022-04-20,307454.21875,308915.96622424724,304043.47464342316,307454.21875,496286,31.060621152174562,-4787.539860578196,-3027.1634328345062,매도
2022-04-21,302581.6856825525,303068.9347738288,298196.44386106625,301607.1875,803990,30.597044214258574,-4962.550679207372,-3414.240914720292,매도
2022-04-22,294298.43375,296247.43,291862.1884375,292349.4375,1166406,24.324345406120784,-5779.282438322494,-3887.249251321431,매도
2022-04-25,285040.7113843154,287476.9567807626,280655.46967071056,281142.71875,823308,16.66668646158341,-7244.652846660232,-4558.730006595361,매도
2022-04-26,281142.71597343206,284066.2104202962,277731.9724520906,279680.96875,804555,19.285740790708772,-8426.392871960648,-5332.262613035456,매도
2022-04-27,272372.1895053476,274808.4344919786,269935.94451871654,273346.6875,875090,20.000009501553265,-9760.206969931955,-6217.851514975306,매도
2022-04-28,278706.42647058825,278706.42647058825,271397.69151069515,273346.6875,547958,21.42857142857143,-10693.917549530393,-7113.064746600462,매도
2022-04-29,275295.7569808028,280168.24825479934,274321.2587260035,279193.75,540274,29.77107570770501,-10838.086113946454,-7858.069036523518,매도
2022-05-02,273834.0,275295.7473309608,271885.00355871883,273834.0,509250,29.323390574600353,-11254.202165483905,-8537.295674316492,매도
2022-05-03,273346.75265957444,276757.4964539007,272859.5035460993,274808.5,419535,28.244323767522204,-11374.32414403517,-9104.70137628038,매도
2022-05-04,274808.5,279680.99113475176,272372.2544326241,274808.5,394212,25.396914271811013,-11338.777371081233,-9551.516580293055,매도
2022-05-06,265550.74908088235,267986.9944852941,261165.50735294117,265063.5,787063,23.357746927234388,-11957.842506339482,-10032.78176985599,매도
2022-05-10,262140.0126811594,270423.2472826087,262140.0126811594,268961.5,732705,28.3688465868386,-11996.050517469179,-10425.435522220265,매도
2022-05-11,266525.2598566308,271885.0,266038.01075268816,271885.0,473201,25.735387047303576,-11656.346986530698,-10671.617816507649,매도
2022-05-12,266525.2435185185,268961.4888888889,263114.5,263114.5,611860,19.047681375481176,-11956.112438040669,-10928.516742004127,매도
2022-05-13,265063.47358834243,267986.9677823315,262627.22842668486,267499.71875,474153,25.69447753901683,-11705.27424843848,-11083.86824386663,매도
