Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,157611.40268287782,159587.7212118167,151682.44709606108,153658.765625,212281,35.353548260145686,-704.5618993225216,-623.1679603579122,매도
2022-01-24,152176.52926421404,153658.76818561874,146247.57357859533,147729.8125,226342,31.531548215142962,-1125.2393820946163,-727.2440982670155,매도
2022-01-25,148223.88698630137,148717.96660958906,142294.93150684933,144271.25,238861,33.333343372831735,-1640.0644972849987,-915.0957314789508,매도
2022-01-26,144271.25,144271.25,144271.25,144271.25,0,35.71429723922034,-2012.3373475616972,-1139.5994285273525,매도
2022-01-27,147729.81998239437,148717.9793133803,138836.38600352113,140318.625,254659,30.392167805456396,-2521.946740417101,-1421.1406873383855,매도
2022-01-28,140318.625,140318.625,140318.625,140318.625,0,31.632669854711523,-2882.9114219780895,-1717.769708990745,매도
2022-02-03,141800.85275800712,142294.93238434164,138342.2953736655,138836.375,151316,33.69566226204762,-3222.954628896783,-2022.317894494515,매도
2022-02-04,136365.98323170733,142294.93902439025,135871.90358231709,141800.859375,137442,30.68184064234964,-3250.924630924186,-2270.326719441357,매도
2022-02-07,140812.7012567935,140812.7012567935,134883.74541440216,136365.984375,243650,25.000008235530913,-3598.394544305571,-2537.9147354737765,매도
2022-02-08,136365.984375,136365.984375,136365.984375,136365.984375,0,27.906984440776995,-3825.2143660544825,-2796.9034611871048,매도
2022-02-09,136365.984375,136365.984375,136365.984375,136365.984375,0,28.57144470635008,-3956.230465913628,-3029.8690108357337,매도
2022-02-10,140812.69812275178,141306.77776528776,135871.90169739208,137354.140625,190607,30.23256840165992,-3942.9125230595237,-3213.170205615289,매도
2022-02-11,134883.75,136860.0686813187,132907.4313186813,134883.75,163017,30.58824448599856,-4059.7995788400003,-3383.0093876912156,매도
2022-02-14,131919.26410914178,135377.82159514926,131919.26410914178,132413.34375,178242,11.11111599142626,-4278.539126547665,-3562.5494366642215,매도
2022-02-15,132413.3450620229,133895.58399928434,127472.54860448473,129448.8671875,262950,12.307702038293314,-4611.202634400368,-3772.686540484198,매도
2022-02-16,131425.18446828358,133401.50303171642,130437.02518656716,132413.34375,127991,23.728817647515996,-4603.433470914548,-3939.0934287575255,매도
2022-02-17,135377.82005111524,137848.21822723048,130437.02369888476,132907.421875,229780,28.3018918586709,-4508.0543443976785,-4053.026654387368,매도
2022-02-18,129942.95479090074,134883.75155101102,129448.87511488971,134389.671875,101876,32.14288941270016,-4272.922007347719,-4097.049322918648,매도
2022-02-21,134389.671875,134389.671875,134389.671875,134389.671875,0,37.500016471056405,-4039.772852620663,-4085.58494584375,관망
2022-02-22,134389.671875,134389.671875,134389.671875,134389.671875,0,37.500016471056405,-3810.8716859868728,-4030.6074477431416,관망
2022-02-23,134389.671875,134389.671875,134389.671875,134389.671875,0,40.000035138269084,-3587.935983398522,-3942.028239879811,관망
2022-02-24,129448.86697470817,135377.82271400778,126978.46875,126978.46875,239363,22.22223198285252,-3926.924578665261,-3939.006281785063,관망
2022-02-25,129448.86150830258,135377.81699723247,129448.86150830258,133895.578125,248722,45.61402194736693,-3626.705163012288,-3876.52578194907,관망
2022-02-28,133895.578125,133895.578125,133895.578125,133895.578125,0,45.61402194736693,-3350.1015859173785,-3771.213602137712,관망
2022-03-07,131425.19057765152,132907.42956912878,129448.87192234848,130437.03125,101177,47.222230762777485,-2091.005760007305,-2837.194675348459,관망
2022-03-08,127472.55314913127,130437.03112934364,127472.55314913127,127966.6328125,120698,47.88733053078306,-2464.5041320879536,-2762.65022515587,관망
2022-03-10,127966.6328125,127966.6328125,127966.6328125,127966.6328125,0,43.07693280752409,-2728.684556894237,-2755.856629155358,관망
2022-03-11,127966.6328125,127966.6328125,127966.6328125,127966.6328125,0,42.18751273934213,-2904.277661905013,-2785.542451955216,매도
2022-03-14,128954.787109375,129448.86675347222,121543.59244791667,124508.0703125,238834,35.29410396866017,-3276.4192160747916,-2883.722081105095,매도
2022-03-15,124508.0703125,124508.0703125,124508.0703125,124508.0703125,0,35.29410396866017,-3530.3347638596315,-3013.04912404574,매도
2022-03-16,124508.0703125,124508.0703125,124508.0703125,124508.0703125,0,35.29410396866017,-3688.7865566873515,-3148.2003780411605,매도
2022-03-17,124508.0703125,124508.0703125,124508.0703125,124508.0703125,0,35.29410396866017,-3770.6839656647644,-3272.6998719973735,매도
2022-03-28,141306.7767084775,143283.09526384083,139330.4581531142,142789.015625,84823,74.50978993920663,1207.8733025600668,-866.0462437189332,매도
2022-03-29,144271.2640784983,147235.74210750853,143777.1844069966,144765.34375,120829,83.99999241013361,1761.8856987433974,-340.45788876696935,매도
2022-03-30,147235.74210750853,147235.74210750853,142789.02506399318,144765.34375,144925,83.99999241013361,2175.7507023756916,162.7853357467142,매도
2022-03-31,143777.17581917476,152670.609375,143777.17581917476,152670.609375,306192,87.8787777148217,3098.986332071043,750.0269411758637,매도
2022-04-01,150694.29080703884,153658.76865898058,149212.05188106795,152670.609375,198155,98.30508974244557,3786.8427171368385,1357.391259846946,매도
2022-04-04,152670.61129127358,157611.4077731918,151188.3723466981,157117.328125,294451,98.52941621018545,4633.940885051823,2012.702189148998,매도
2022-04-05,159093.64365234374,160081.8029296875,155635.08618164062,158105.484375,249095,98.57143276651006,5322.818438438495,2674.726250646035,매도
2022-04-06,156129.17034700315,159587.72791798107,154646.93138801263,156623.25,193313,94.52056337466824,5684.431202015374,3276.6678313024872,매도
2022-04-07,154646.92988404087,158105.48742138364,153658.77058765723,157117.328125,202724,92.72729363600818,5941.987958202168,3809.7322749448913,매도
2022-04-08,158105.48048048047,166010.7545045045,157117.32122747749,164528.515625,430337,94.28572977524942,6663.187717927445,4380.423721770229,매도
2022-04-11,163046.2823275862,164528.52125783698,156623.24696316614,157611.40625,239009,75.3424758419261,6603.825956232584,4825.104391967165,매도
2022-04-15,154646.9375,156129.17651757188,153658.77815495207,154646.9375,107414,65.00001778876202,5337.486268304579,5353.628402866934,매도
2022-04-18,153164.6917087542,154152.851010101,146247.5765993266,146741.65625,313852,52.173907065318275,4362.047981969459,5155.312286054433,매도
2022-04-19,147729.81890368852,151682.4561987705,147235.73924180327,150694.296875,140128,55.999998735021464,3862.1839672269125,4896.686588243348,매도
2022-04-20,151188.37808388157,151682.45775082236,148223.90008223685,150200.21875,83025,47.058832283587314,3387.2624188998016,4594.801722582451,매도
2022-04-21,151682.44561298078,159093.64002403847,150694.28635817306,154152.84375,254207,51.61289883808986,3290.8125037861173,4334.003856851007,매도
