Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,61719.5021330181,62718.19957853619,59821.97698653372,60720.8046875,1728551.0,30.672265040686213,-79.29192477383185,-299.85631465138124,관망
2022-01-24,60021.71835409628,60620.93684016047,59023.02087732263,59122.890625,1084225.0,28.74015541903144,-178.03273963388347,-274.6030804596328,관망
2022-01-25,59422.49734760803,59622.236834490745,56526.274787808645,56626.14453125,1874355.0,28.627447371307127,-402.1458084787955,-300.8504230787074,매도
2022-01-26,57225.365842165644,58423.80282315341,56626.14735167177,57125.49609375,1164928.0,38.80597334408532,-537.1705207265841,-349.2032515087827,매도
2022-01-27,57325.23450330748,57624.8437428718,54728.62109375,54728.62109375,1770666.0,35.77981355087107,-785.1058389739992,-437.9830842891365,매도
2022-01-28,55028.22911931818,55227.96860795454,51432.91832386364,54928.359375,2728488.0,43.243236386247204,-953.2841017026149,-542.5502595852685,매도
2022-02-03,56026.92712967082,56925.75483763345,55527.57840302491,56126.796875,1411048.0,47.42267583964374,-993.2841372039256,-633.7484789923627,매도
2022-02-04,55527.579992311075,57724.714452438486,55227.970747748244,56825.88671875,1314467.0,43.0167650256794,-966.0330382058528,-700.8240538162473,매도
2022-02-07,57125.49395940721,58923.149363724224,55427.70829977449,58124.19140625,1446356.0,50.56179429624918,-846.3388579406237,-730.1433528836495,매도
2022-02-08,58124.19140625,58124.19140625,58124.19140625,58124.19140625,0.0,47.61905094502024,-743.4768825455467,-732.8258937423288,매도
2022-02-10,60321.32661996497,60521.06611208407,57025.625,57025.625,1864904.0,33.139539907755974,-571.5972102803207,-670.2851704694433,관망
2022-02-11,56226.66689590669,57724.713083186616,55927.0576584507,56726.015625,832830.0,33.72781585487388,-606.6726223241421,-657.524092849832,관망
2022-02-14,55927.0592948718,56226.668541094325,54329.143315018315,54528.8828125,1353063.0,29.10054202117962,-782.6495852059015,-682.6098449478774,매도
2022-02-15,54728.62237064797,55028.23161720261,51532.790407398454,51632.66015625,2274891.0,27.36319589079295,-1117.8354317075355,-769.8236583491655,매도
2022-02-16,53230.57358318099,54728.619744058495,52731.22486288848,54628.75,1144186.0,39.5348811824702,-1150.3809038553954,-846.0530667464441,매도
2022-02-17,54429.01158181504,55327.83929601015,53130.70488353321,54129.40234375,1342654.0,43.58974770424139,-1198.7038153164758,-916.6706367778694,매도
2022-02-18,52930.96539148985,54528.881327836716,52831.09564546817,54129.40234375,648501.0,42.10525882399442,-1222.5571417981046,-977.9085849082479,매도
2022-02-21,53030.83335433468,56026.92563424059,52831.09386900762,55727.31640625,787309.0,52.74724755164804,-1109.429145703325,-1004.2335538564432,매도
2022-02-22,55727.31640625,55727.31640625,55727.31640625,55727.31640625,0.0,52.222220049252535,-1008.1902576753637,-1005.0253965101349,매도
2022-02-23,55727.31640625,55727.31640625,55727.31640625,55727.31640625,0.0,48.80951909772707,-917.4043746051393,-987.4923017939195,관망
2022-02-24,56825.88466320072,57524.97287522604,54429.01079339963,55227.96875,1230603.0,45.180714800887735,-873.2054619219489,-964.6256580068144,관망
2022-02-25,56326.535585732985,57624.842257035336,55427.70789021597,57225.36328125,1603780.0,47.39884197032351,-678.3734227050518,-907.3566260830526,관망
2022-02-28,57225.36328125,57225.36328125,57225.36328125,57225.36328125,0.0,47.39884197032351,-518.1388086249572,-829.4928479989164,관망
2022-03-02,55527.57740295749,55627.44714648799,53929.6615064695,54029.53125,1322952.0,34.92062243796481,-629.1684863379123,-789.4196527896918,관망
2022-03-03,54528.88173491379,55028.23046875,54029.53300107759,55028.23046875,1417086.0,44.1860454539356,-632.8086472213472,-758.0922465178414,관망
2022-03-04,54528.88076356132,54628.75050854953,52930.96484375,52930.96484375,1117022.0,39.99999588279384,-788.6058603364872,-764.1957805804054,매도
2022-03-07,51932.267628205125,52132.00711908284,50234.48195574457,50633.9609375,1604719.0,39.79056894719274,-1077.5531701818181,-826.8739235840803,매도
2022-03-08,49385.59106123096,50633.962928299494,48986.11206376903,49185.8515625,1394411.0,43.059488138870734,-1402.7174429000806,-942.0524257506144,매도
2022-03-10,49185.8515625,49185.8515625,49185.8515625,49185.8515625,0.0,31.399321962219346,-1641.2239097681231,-1081.896239830927,매도
2022-03-11,51632.66002705496,52831.0970102748,50933.571786843386,51333.05078125,796207.0,41.411045447433914,-1643.242614718758,-1194.171627662048,매도
2022-03-14,51832.398572198275,52331.74730603448,51333.049838362065,52132.0078125,742360.0,44.152046582982166,-1564.1199606224618,-1268.1645170990016,매도
