Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,135289.35219298245,136708.47127192983,133870.23311403507,134816.3125,40637,45.12194286842174,-484.4490281272447,-189.57361012281427,매도
2022-01-24,132924.15753808242,133870.23695116487,129612.8795922939,131978.078125,64250,42.045453692380576,-670.6839977601194,-289.30466209155406,매도
2022-01-25,130558.97727272726,131505.05681818182,119679.0625,119679.0625,276221,33.6363781045048,-1549.4994106370432,-548.6433468252096,매도
2022-01-26,119679.0625,119679.0625,119679.0625,119679.0625,0,37.00002147017875,-2200.489508814717,-886.6232091328482,매도
2022-01-27,119679.0625,121571.22159090909,114475.625,114475.625,149197,25.252537385142034,-3000.1050145586196,-1317.0738801442762,매도
2022-01-28,114475.61883715139,120152.09580428286,113529.53934262948,118732.9765625,89514,31.48148403017386,-3305.022164690352,-1720.477191461583,매도
2022-02-03,121571.21736245173,124409.45590009652,121098.1776061776,122517.296875,92858,34.513272784193504,-3253.475198663611,-2030.652875060259,매도
2022-02-04,121571.21599616858,124882.49425287356,121098.17624521072,123463.375,58032,28.846148959902834,-3112.062469441895,-2248.948213052802,매도
2022-02-07,123463.37569110577,123463.37569110577,119679.05766225961,122990.3359375,52093,30.612232172544765,-2997.2275590490462,-2399.71655626874,매도
2022-02-08,122990.3359375,122990.3359375,122990.3359375,122990.3359375,0,31.914889504961067,-2872.635057346939,-2494.861895435231,매도
2022-02-09,122990.3359375,122990.3359375,122990.3359375,122990.3359375,0,35.71427588361507,-2741.9604795789637,-2544.5160976040333,매도
2022-02-10,127720.72926456766,128193.76900258458,122990.33188439849,125828.5703125,59583,40.90907470067013,-2410.829362013508,-2517.677356589119,관망
2022-02-11,123463.37779669261,123936.41755836576,121098.17898832685,121571.21875,54927,39.13042853855138,-2423.743929161559,-2498.8337197056976,관망
2022-02-14,120625.13555154382,121098.17529880478,118259.93681523904,118732.9765625,61470,28.73561843733087,-2606.664827939545,-2520.4522116586727,매도
2022-02-15,118259.94245113168,118732.9822209362,114002.58452289095,114948.6640625,83351,27.173916360635502,-2989.50795561407,-2614.445169271063,매도
2022-02-16,117313.85889423077,123936.41544471153,116367.77938701923,122990.3359375,92124,40.77670494476835,-2673.7522456489824,-2626.324967644228,매도
2022-02-17,121571.21504606573,122990.3342878486,118259.93681523904,118732.9765625,104232,48.837200816789164,-2705.4333230576012,-2642.1662492837177,매도
2022-02-23,119206.0234375,119206.0234375,119206.0234375,119206.0234375,0,44.776127129116155,-2373.895076092478,-2525.9319007612785,관망
2022-02-24,115421.70087394069,116840.82014698094,111164.34305481992,111637.3828125,118112,34.567906017298085,-2858.873553202342,-2592.5472536469533,매도
2022-02-25,113529.53637295081,116367.77478227459,113056.49663806352,115421.6953125,66789,40.9090857906432,-2920.73520543224,-2658.206151534588,매도
2022-02-28,115421.6953125,115421.6953125,115421.6953125,115421.6953125,0,40.9090857906432,-2935.5343245213735,-2713.6861895733064,매도
2022-03-02,117786.89774999999,120152.0965,117313.858,118259.9375,55694,44.68085069000626,-2698.1220268969773,-2710.572710393714,관망
2022-03-03,119206.01994163424,122044.25851167315,118259.94041828794,121571.21875,63909,45.2631661296225,-2229.2570686746767,-2614.2935849362852,관망
2022-03-07,115894.7450401971,115894.7450401971,113056.50638615145,114002.5859375,66805,44.79167562691025,-2088.349622107329,-2384.662632557616,관망
2022-03-08,112583.4651804957,113056.50495016164,109745.2265625,109745.2265625,105948,44.32989901356384,-2588.6767267551477,-2425.4689228123802,매도
2022-03-10,109745.2265625,109745.2265625,109745.2265625,109745.2265625,0,32.500015483295584,-2950.732589280058,-2530.5288061110673,매도
2022-03-11,111637.3828125,113529.54184322034,110218.26353945975,111637.3828125,53886,40.000008808275545,-3054.1975457491935,-2635.2682565967916,매도
2022-03-14,111164.33933423914,112110.41881793478,107853.06114130435,108799.140625,87174,32.89472311729584,-3320.093058337865,-2772.2391828702534,매도
2022-03-15,107853.06458333334,108799.14409722222,105014.82604166666,106433.9453125,82539,32.46752661787795,-3673.9190981245047,-2952.581449931957,매도
2022-03-16,108326.10725350217,110691.3061018319,107853.06748383622,109745.2265625,61378,38.095237158983934,-3651.3938408639806,-3092.347824236238,매도
2022-03-17,111637.38212025317,113529.54113924051,111637.38212025317,112110.421875,50036,41.573027661277344,-3407.6570219479327,-3155.411070135955,매도
2022-03-21,113529.5390625,113529.5390625,113529.5390625,113529.5390625,0,47.05882781544775,-2765.1412461660366,-3063.2111956281065,관망
2022-03-23,116367.77986391129,117786.89913054436,115894.74010836694,117313.859375,47833,48.57143059373787,-1790.6148249485996,-2682.54857493451,관망
2022-03-24,115894.74500868056,119206.0234375,115894.74500868056,119206.0234375,69758,46.26866223508297,-1242.3046195189236,-2394.4976789171114,관망
2022-03-25,119206.0213235294,121571.22015931373,118732.98155637254,120625.140625,67994,48.57143059373787,-687.0646447224135,-2053.0090757335615,관망
