Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,111365.12539556962,117226.44778481012,110388.2383306962,115761.1171875,382709,44.70588323845979,-62.811349849100225,-451.8594485066984,관망
2022-01-24,113807.34305775317,117226.44778481012,113807.34305775317,115761.1171875,265191,44.70588323845979,271.85650857089786,-301.83784103244017,관망
2022-01-25,114784.2265625,118691.77470079788,114295.78304521277,114784.2265625,385387,49.350636941219776,463.13537877569615,-144.41205512872236,관망
2022-01-27,113318.90133101853,114295.78841145834,102573.14344618056,105503.8046875,516339,44.04761768752716,118.04599089921976,30.865353479283417,관망
2022-01-28,107457.5763413242,109411.350456621,105503.80222602739,106969.1328125,272481,47.61904852577572,-162.2859594317997,-8.329770367415552,매도
2022-02-03,107457.58203125,107457.58203125,97688.7109375,97688.7109375,842238,40.00000319893693,-981.3309778723778,-205.19976841198286,매도
2022-02-04,97688.70772946859,103550.03019323671,97688.70772946859,101107.8125,442304,39.39394037310593,-1376.1804985037597,-441.5761012891719,매도
2022-02-07,101107.81071753641,101596.25424757281,99154.03659739078,100619.3671875,315133,40.20618301710854,-1698.2426048526395,-694.7777000383373,매도
2022-02-08,100619.3671875,100619.3671875,100619.3671875,100619.3671875,0,41.93548775451974,-1927.8840673953819,-942.8634130799292,매도
2022-02-09,100619.3671875,100619.3671875,100619.3671875,100619.3671875,0,39.99999644562482,-2083.4862761993863,-1172.0703850257778,매도
2022-02-10,101107.81141707921,102573.14201732673,98177.15021658415,98665.59375,331873,41.37931224669328,-2315.7881716544216,-1401.6813881958815,매도
2022-02-11,97688.70674523572,99154.03734641425,94953.4229563691,97395.640625,450924,43.06219848528766,-2558.6559123906627,-1633.7777612799882,매도
2022-02-14,95637.24390358575,98665.59381268806,95637.24390358575,97395.640625,214801,23.961654648079787,-2717.9857788648806,-1851.1449263533536,매도
2022-02-15,95734.9380387931,99154.04296875,95734.9380387931,96321.0703125,164054,16.722398455094506,-2887.3775787483464,-2058.793106827185,매도
