Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,100038.40294471155,102896.64302884616,97656.5362079327,99085.65625,41454,27.027024032147466,-1469.729215488187,-987.3530874277609,매도
2022-01-24,97180.1585960961,99562.02522835336,94036.09464151652,95179.390625,64564,24.330893689966572,-1813.721707448858,-1158.6539237979575,매도
2022-01-25,94607.74964600895,95274.6723524763,89653.46668368019,90415.6640625,66258,18.140586702049916,-2340.863020822071,-1401.943742817013,매도
2022-01-26,90415.6640625,90415.6640625,90415.6640625,90415.6640625,0,23.12139221489832,-2713.8318363856524,-1670.3656863552246,매도
2022-01-27,91273.13316684664,92797.52787526998,86699.94904157666,88224.34375,60152,21.680218488403355,-3104.312509028765,-1962.416164589734,매도
2022-01-28,88605.44012034162,92130.60279179607,86033.02411684782,92035.328125,42069,26.649751950565346,-3122.1720846199896,-2197.7589962403486,매도
2022-02-03,94893.57196691177,98609.28412224265,92606.97987132354,97180.1640625,60119,38.97059724983183,-2762.8984560311364,-2312.105210289988,매도
2022-02-04,95751.0390625,98132.90570584577,94036.09507929104,95751.0390625,49261,29.222521227059573,-2546.7492264063767,-2359.4708847505926,매도
2022-02-07,96227.41042424637,96703.78374317828,90987.30391599533,91654.2265625,82475,28.989359440081174,-2623.8576810095838,-2412.741310365598,매도
2022-02-08,91654.2265625,91654.2265625,91654.2265625,91654.2265625,0,28.032339294267118,-2652.552693083431,-2460.9883873834215,매도
2022-02-09,91654.2265625,91654.2265625,91654.2265625,91654.2265625,0,33.44051311297804,-2643.530816820188,-2497.670097750346,매도
2022-02-10,92130.60606010129,92130.60606010129,88605.44326359275,89367.640625,45369,32.0,-2764.362279554145,-2551.2108051849123,매도
2022-02-11,88986.53051086358,89367.62914260176,86223.56543076182,86604.6640625,97887,28.366764870559066,-3020.03390221241,-2645.2596698423863,매도
2022-02-14,84603.9057792584,85461.37779729142,81459.84171313731,82222.0390625,95171,24.102570356326837,-3494.5981001334876,-2815.539066218261,매도
