Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,187712.6875568563,189040.84397742528,184613.65590886213,187269.96875,74835,42.73502546094706,-1276.4638857231766,-759.9096268512118,매도
2022-01-24,188598.14177500663,190369.01715834218,180629.2025499967,183285.515625,81473,39.682533902582634,-1604.5004498384951,-934.9878072940033,매도
2022-01-25,182842.79940340537,183728.23710778134,175316.59334124808,177087.46875,167113,35.97122503093243,-2209.1552405011025,-1197.2019663672581,매도
2022-01-26,177087.46875,177087.46875,177087.46875,177087.46875,0,37.313426152971715,-2642.873370789661,-1492.9969583296377,매도
2022-01-27,176202.0328508561,177972.90827775106,168233.0934298288,169561.25,183760,16.528906094133376,-3417.1139121056185,-1884.8798842820015,매도
2022-01-28,169561.2492663427,173988.43781442454,167347.65499230177,172660.28125,125239,21.774183678377682,-3771.7628645643417,-2267.774574365939,매도
2022-02-03,175316.59375,179743.76785716345,173988.43719033946,175316.59375,104645,29.999996791516253,-3826.4427269773732,-2583.144168760997,매도
2022-02-04,175316.59334124808,177530.18760218797,173102.9990803082,177087.46875,85290,29.35779430339889,-3705.6685104520584,-2809.739005580829,매도
2022-02-07,179743.74994090854,182842.78160454874,175759.29508412242,180186.46875,115185,33.91300344800601,-3360.140026648063,-2920.6374962243003,매도
2022-02-08,180186.46875,180186.46875,180186.46875,180186.46875,0,37.499961822100495,-3052.3313664179586,-2947.1326701647495,매도
2022-02-09,180186.46875,180186.46875,180186.46875,180186.46875,0,40.206149557213976,-2777.235856164072,-2912.9920830000824,관망
2022-02-15,193025.32944123982,193910.76712927409,185056.39024893148,186827.265625,121491,49.62407311925771,358.3574507550802,-1268.0927823891743,관망
2022-02-21,201436.96875,201436.96875,201436.96875,201436.96875,0,78.57141656690239,2662.1735310340882,546.4381027937616,매도
2022-02-22,201436.96875,201436.96875,201436.96875,201436.96875,0,77.31091091138592,3158.8903647925763,1069.2599328968956,매도
2022-02-23,201436.96875,201436.96875,201436.96875,201436.96875,0,76.10617976475291,3510.7997925547534,1557.8156319985515,매도
2022-03-02,192582.61148845043,192582.61148845043,181957.35918286812,182842.796875,343755,52.083346098558984,1602.3101183550607,2128.4709782354216,매도
2022-03-03,184613.67216250167,185056.39100833554,182400.07793333224,183285.515625,198924,40.000012275929755,758.6703804004355,1854.4653316713725,매도
2022-03-04,183285.515625,183285.515625,183285.515625,183285.515625,0,33.00969709429825,89.63697839944507,1501.4527375946957,매도
2022-03-07,174873.86003084897,175316.57884643387,169118.5154282453,170446.671875,329682,28.33332892166854,-1419.0463589525607,917.2907995330731,매도
2022-03-08,167347.64023046585,172217.54720377846,167347.64023046585,170003.953125,144889,32.07545976196326,-2617.9070952463953,210.1910671845363,매도
2022-03-10,170003.953125,170003.953125,170003.953125,170003.953125,0,24.210507153768873,-3526.533541036333,-537.2047195811069,매도
2022-03-11,173988.43678468413,177972.90645437595,172660.2802281202,177087.46875,141935,33.33334422632679,-3650.189773019665,-1159.8356295199787,매도
