Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,195341.2969890511,195341.2969890511,190200.7365419708,192070.03125,3946,26.190563379160466,-899.8119873187097,-329.6624403399589,매도
2022-01-24,192070.029140625,192070.029140625,184592.850390625,186929.46875,3285,20.75479792021781,-1446.3376580527984,-561.1419449019752,매도
2022-01-25,186462.13837025317,186929.46202531646,184125.5200949367,184592.84375,1700,19.29832279544651,-1984.574606407754,-854.0737752146375,매도
2022-01-26,184592.84375,184592.84375,184592.84375,184592.84375,0,19.64293817153583,-2370.4269006492104,-1164.3307666567919,매도
2022-01-27,194873.96184045228,194873.96184045228,185527.48885050253,185994.8125,2447,24.138010547020002,-2548.4335674088215,-1446.2295640833843,매도
2022-01-28,189733.41513480392,190668.0625,185060.17830882352,190668.0625,2516,36.9231180738162,-2354.4528122232005,-1630.5302667541382,매도
2022-02-03,190668.04899497487,192070.01994346734,185060.16520100503,185994.8125,3793,21.538462329822323,-2481.1536727095663,-1802.6392291844381,매도
2022-02-04,185994.82356126237,190200.7366568688,185527.49988397278,188798.765625,2081,29.411813875046406,-2363.8010006518743,-1915.9163807904629,매도
2022-02-07,188798.76792394015,188798.76792394015,185527.5021430798,187396.796875,1333,28.57146951227375,-2338.8186023032467,-2001.125557845768,매도
2022-02-08,187396.796875,187396.796875,187396.796875,187396.796875,0,29.411813875046406,-2291.7165130008943,-2059.5888552720985,매도
2022-02-09,187396.796875,187396.796875,187396.796875,187396.796875,0,28.35824992040466,-2228.0837327067275,-2093.447724749392,매도
2022-02-10,185994.82140625,188798.7634375,185994.82140625,186929.46875,462,29.68752367225119,-2184.8841239839094,-2111.804353980792,매도
2022-02-11,186929.4642857143,188331.43526785713,185994.8169642857,186462.140625,717,33.33337243862766,-2158.4644494425447,-2121.1646628708845,매도
2022-02-14,186462.15391791044,188331.44869402985,183190.88805970148,187864.125,2003,36.66672982169107,-2013.2821756977064,-2099.5358702244944,관망
2022-02-15,187864.09801136365,187864.09801136365,184125.50899621213,185060.15625,827,37.28814135621267,-2077.1103478040895,-2095.04207347334,관망
2022-02-16,184592.83262310608,187396.7743844697,184592.83262310608,185060.15625,1562,45.833310114626116,-2102.7557753987785,-2096.5872048333986,매도
2022-02-17,184592.84375,186929.46202531646,184592.84375,184592.84375,720,50.0,-2132.311759447184,-2103.74097169058,매도
2022-02-21,184125.5200949367,186462.13837025317,184125.5200949367,184592.84375,963,46.666686479956134,-2052.597571006336,-2086.873574030368,관망
2022-02-22,184592.84375,184592.84375,184592.84375,184592.84375,0,31.42862601618249,-2021.2765538746607,-2073.7458493151694,관망
2022-02-23,184592.84375,184592.84375,184592.84375,184592.84375,0,44.00004279665437,-1973.466766253201,-2053.6798580364202,관망
2022-02-24,185060.17644230768,185060.17644230768,181321.58701923076,182256.234375,2662,20.83344942686942,-2088.214502163726,-2060.5895897820715,매도
2022-02-25,182256.22322570332,183190.87052429668,182256.22322570332,182723.546875,970,27.272741088824517,-2118.7868033509003,-2072.2328109371265,매도
2022-02-28,182723.546875,182723.546875,182723.546875,182723.546875,0,27.272741088824517,-2118.331535099627,-2081.4549499738046,매도
2022-03-02,181321.58035714287,181788.90401785713,179452.2857142857,179919.609375,1202,21.428605545909832,-2306.273893228936,-2126.4280791783303,매도
2022-03-03,179919.61382772023,185527.49789507771,179919.61382772023,180386.9375,1674,25.000059705342196,-2391.293666937767,-2179.409999861748,매도
2022-03-04,180386.9375,180386.9375,180386.9375,180386.9375,0,25.92599472222325,-2430.3900622627407,-2229.6126854234576,매도
2022-03-07,188798.75660438143,188798.75660438143,181321.578125,181321.578125,778,23.076873616785434,-2361.4841199330986,-2255.9897772188947,매도
2022-03-08,181788.90177996134,182723.549089884,179919.607160116,181321.578125,901,30.00001671757167,-2280.4631637686107,-2260.8848709573585,매도
2022-03-10,181321.578125,181321.578125,181321.578125,181321.578125,0,30.00001671757167,-2190.8942278447794,-2246.885789606735,관망
