Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,198662.20390428213,200557.07432304785,194473.54297858942,197964.09375,399605,43.318652998149595,450.94806143973256,-74.64476961536288,관망
2022-01-24,196468.1344624682,205044.91596692114,193974.88402512722,195969.484375,737351,42.08273677632587,417.4180043867382,27.356640761336767,관망
2022-01-25,196069.22541175684,197864.3658275308,186195.953125,186195.953125,572062,41.72560188379956,-206.03232858260162,-20.67306925837263,매도
2022-01-26,186195.953125,186195.953125,186195.953125,186195.953125,0,43.382349722331604,-678.9432725164224,-155.35998973431833,매도
2022-01-27,188290.28525073745,190085.42568215338,162559.93906710914,169042.390625,1673823,33.926454378137294,-2114.3115053161746,-554.3376351516115,매도
2022-01-28,164055.89019920022,170638.07181205568,156576.13836640996,168344.28125,1247763,38.337804254911624,-3236.471678769769,-1098.6082094937906,매도
2022-02-03,176522.14083473154,181309.18194211408,171535.63968120806,178317.28125,644926,48.553464523511,-3412.2346506195026,-1566.7305812103284,매도
2022-02-04,177619.16522938645,180212.14574368406,173829.42447772072,179613.765625,444082,36.2928273265157,-3421.362345556263,-1941.1099745068204,매도
2022-02-07,179613.76943076082,183303.78024083198,175325.37848932677,182206.75,416129,40.8517279997944,-3213.734565161867,-2197.5269157140756,매도
2022-02-08,182206.75,182206.75,182206.75,182206.75,0,41.373797359183214,-3014.6100807362527,-2361.9139183075945,매도
2022-02-09,182206.75,182206.75,182206.75,182206.75,0,39.13764881339021,-2824.3723984125245,-2454.8444664342887,매도
2022-02-10,193376.51581636048,194174.35600539137,185996.4940678248,187292.984375,394439,41.93038512062459,-2289.7052622305637,-2421.691376761966,관망
2022-02-11,181807.8257851935,183004.58602075154,176821.32480370163,177818.625,662304,38.51744080129127,-2511.9169402720872,-2439.791192801341,매도
2022-02-14,170737.79287709497,179414.3045478352,170638.06285789105,178516.734375,440488,31.774192773988844,-2606.215527514403,-2473.1567326692166,매도
2022-02-15,178516.73718836566,187492.43905817176,176123.2166897507,180012.6875,499021,35.09933688942935,-2542.398802343727,-2487.031985245868,매도
2022-02-16,186195.9517838336,189487.0425223802,185098.9215376514,189387.3125,454638,45.13275031571456,-1787.2560385149845,-2346.859890088459,관망
2022-02-17,189487.03471846238,192478.93526664862,177818.622580536,184201.34375,623548,48.41771485078513,-1553.6582202142454,-2188.022925475403,관망
2022-02-18,178616.4746062197,185597.57634962304,177718.90438206785,185198.65625,472704,49.22118676558048,-1280.2699037870334,-2006.2923438870805,관망
2022-03-04,203449.25,203449.25,203449.25,203449.25,0,77.16700397147429,3220.6126923904812,737.7060766334417,매도
2022-03-10,185098.921875,185098.921875,185098.921875,185098.921875,0,46.0258814296326,1788.484958634508,1573.7341015513837,관망
2022-03-11,185098.921875,185098.921875,185098.921875,185098.921875,0,50.920252868090735,1199.3333004277083,1498.8498642409656,매도
2022-03-14,182406.20008223684,184500.53042763157,169042.37787828947,170538.328125,1084840,38.23999430462676,-403.5948228662601,1118.344353467094,매도
2022-03-15,170538.328125,170538.328125,170538.328125,170538.328125,0,38.23999430462676,-1654.20423084934,563.8153140869128,매도
2022-03-16,170538.328125,170538.328125,170538.328125,170538.328125,0,38.23999430462676,-2614.6584387919866,-71.89715756617926,매도
2022-03-17,170538.328125,170538.328125,170538.328125,170538.328125,0,38.23999430462676,-3336.9376868886757,-724.9198263228233,매도
2022-03-18,185697.30379704302,187691.90426747312,183602.9733030914,185497.84375,949132,54.10292342050724,-2696.58392162394,-1119.2596806411368,매도
2022-03-21,185497.84375,185497.84375,185497.84375,185497.84375,0,45.90164229161604,-2164.2195415956667,-1328.2546357077167,매도
2022-03-22,189487.046875,190683.80717105264,185198.65581414473,189487.046875,276290,49.23077219735676,-1410.115254027245,-1344.6269463103629,매도
2022-03-23,195470.8339753467,198462.73449537752,192578.66347265022,194174.34375,635224,43.29896130151599,-435.7679336263682,-1162.8534833847284,관망
2022-03-24,192578.67641826923,195770.0371875,188589.47545673078,194473.546875,379807,42.105266051207856,355.89202137332177,-859.1021627678563,관망
2022-03-25,198263.2771820449,202252.47793017456,197565.1670511222,199958.6875,746855,47.19999137672145,1403.127331001393,-406.6536189968564,관망
2022-03-28,200257.88946437594,201554.37978461344,194872.46813415867,197365.71875,516538,49.413736046723706,2003.358106726344,75.35098038941949,관망
2022-03-30,209333.3119997646,211826.5625,205443.84121939738,211826.5625,524046,71.89542333070932,4519.03001959002,1469.842607333827,매도
2022-03-31,210330.61728437777,226586.61093888397,208435.74685839238,225190.390625,1340022,76.94370063278245,6526.925406889146,2481.261589112202,매도
2022-04-01,223295.52294599646,227982.8340574131,221500.38252034754,226686.34375,619724,95.77237628118398,8143.489867825585,3613.7094141939315,매도
2022-04-04,226586.60200086993,231373.64288821226,224492.27161265767,229279.3125,486455,95.94385483619845,9521.87026703023,4795.343395609998,매도
2022-04-05,233168.7850493921,239152.58620549284,228381.74412451152,229678.234375,770547,95.96900934548566,10524.560254573473,5941.188172204302,매도
2022-04-06,223195.78238636363,232370.94412878787,223195.78238636363,230376.34375,531446,96.01228681834314,11245.218187428865,7001.995215685734,매도
2022-04-07,228381.75493070364,236858.8069696162,223494.9837553305,233866.90625,658309,95.15830688077678,11957.898764085257,7993.1767030840165,매도
2022-04-08,237856.09887295082,244338.55020491805,236759.068647541,243341.25,863128,95.88609273755924,13130.483838380489,9020.638775091707,매도
2022-04-11,243341.2541064389,244039.3642616623,227184.99051412614,227683.640625,912817,75.56743258665756,12658.07302666502,9748.12599072727,매도
2022-04-12,220902.00105070497,231872.30358595445,220004.43084327548,229877.703125,578975,74.72377182088465,12317.606997239607,10262.022398479661,매도
2022-04-13,232071.75972222222,234864.20032051284,225888.4983974359,233368.25,427073,75.79365992205723,12187.344171794422,10647.086876897567,매도
2022-04-14,237157.99129313973,242643.14247948234,234465.28071075337,236958.53125,537103,75.16961929089399,12231.279415102268,10963.925466000905,매도
2022-04-15,233866.9011192046,239750.9724053594,231373.65057422375,234465.28125,370576,75.27174040303282,11928.230087507807,11156.786429971484,매도
2022-04-19,235662.04415816854,242742.8757854347,235163.39404357233,242044.765625,631116,70.44534661198406,11506.507531474199,11243.512951786079,매도
2022-04-25,238753.669875,240548.81025,224392.546875,224392.546875,1020852,46.82635047379021,9867.726644693408,11099.026067900086,매도
2022-04-26,228381.74928723165,230077.15965311942,220403.347565407,222996.328125,406362,45.6057055743375,8259.926296933816,10531.2060892134,매도
2022-04-27,211427.6503164557,222298.22290348102,209233.5897943038,220602.8125,580860,41.99759353338454,6715.664965205593,9768.097838077942,매도
2022-04-28,221899.30057982277,224292.82112540287,212823.86851116482,216613.609375,508155,32.731966308048484,5111.75390384451,8836.82902552173,매도
2022-04-29,216613.60704514364,220503.07788987688,214419.54656862744,218707.9375,473934,42.96875133875797,3963.603784572042,7862.183955806184,매도
2022-05-02,214419.5425622172,221899.2940469457,214120.35250282806,220403.34375,356874,42.51968095959836,3153.8755069046456,6920.522249388154,매도
2022-05-03,224791.47427758318,230276.625602014,224392.55418126096,227783.375,492746,45.84570367525841,3071.1833791552635,6150.654464459666,매도
2022-05-04,229678.23315042825,237357.44459314775,229678.23315042825,232869.59375,510216,47.02466928136916,3376.4422120837844,5595.81200771043,매도
2022-05-06,227683.6443876121,232470.68553110986,218707.9422435538,222397.953125,661606,42.13264313013453,2743.073299666372,5025.264260940297,매도
2022-05-10,209433.04698256083,221201.18962253327,207238.98649036256,217311.71875,587957,41.37931448468697,1810.4336647807795,4382.298137055244,매도
2022-05-11,215915.49510416668,226686.33735416667,213322.5145625,224392.546875,415122,38.05667545388655,1623.2054146212758,3830.47958937364,매도
2022-05-12,219306.31559537916,224093.3565906398,210430.34375,210430.34375,560534,32.63888863703539,345.6047886153101,3133.5046259938067,매도
2022-05-13,213422.24947081105,224093.3619443516,213123.05940145944,223794.171875,443721,38.73684276493901,405.54745163032203,2587.9131890995045,매도
2022-05-16,231174.1813391699,234764.46198119325,225190.380269131,230675.53125,717564,42.92730494052581,996.2446064066899,2269.5794716173123,매도
2022-05-17,234664.74428481545,238055.5650692114,233168.79393875838,237756.375,515676,57.59637655454006,2011.977998420829,2218.0591768558393,매도
2022-05-19,238554.22222222222,274257.57153474545,238454.49219620958,268373.5,3223087,70.80799704676178,6388.014476991782,3264.8226823178165,매도
2022-05-20,269271.0543160205,278047.2960863204,267475.91395391367,272661.875,1152194,74.35008870217858,8882.180968757544,4388.2943409698455,매도
2022-05-23,276252.1701012292,278246.77060737525,268373.49810195225,275853.25,820698,74.59228039220696,10989.446581823402,5708.524790422942,매도
2022-05-30,246333.1574504802,251319.65861344538,242842.60663640455,249225.328125,1046596,62.738852986746785,8256.936780800868,8364.544074429668,매도
2022-06-02,258799.40981559738,261492.1204379562,255308.85900883595,259597.25,463943,71.4534369056586,8564.419628282893,8419.252883558294,매도
2022-06-03,263087.7894625,263287.24950000003,246632.33636875002,249325.046875,843380,61.449008980527154,7732.148907364317,8281.832088297106,매도
2022-06-07,245435.58253071638,248228.023128384,238653.94107923782,239451.78125,729535,53.832755181056875,6204.641342481482,7866.3939390798205,매도
2022-06-08,240349.34860907376,244139.08937552388,236360.14780228416,237955.828125,405049,50.09157189889774,4817.874074322579,7256.689966064783,매도
2022-06-09,237357.44851878614,242244.21951770232,233966.6278256606,241546.109375,393999,47.18992192161191,3962.7879060018167,6597.909553997223,매도
2022-06-10,238354.74794130068,239850.6982421875,232869.596838049,236160.6875,444417,31.542850860591145,2818.206160368747,5841.9688752210695,매도
2022-06-13,228381.7501451034,241546.11303556353,228182.29010130855,236260.421875,553768,28.091247964709666,1897.2933947179408,5053.033779078315,매도
2022-06-14,231972.024502551,245335.84706632653,231772.5644642857,244338.546875,723567,32.08616089247457,1798.4105087993375,4402.109124994713,매도
2022-06-15,245335.85717975209,248028.5678073347,237955.83545971077,241346.65625,599787,34.261497444675086,1461.8280250569806,3814.0529049870693,매도
2022-06-16,248228.01412679785,254211.81519052136,245535.30364812224,249624.234375,679827,47.470807711401385,1841.6451135490788,3419.571346688686,매도
2022-06-17,244238.82639783082,253613.4485625495,243341.2561905705,251718.578125,506143,53.305789671882266,2285.271255127125,3192.711328371412,매도
2022-06-20,253613.43539270133,257901.82616025387,249424.77464299882,251419.375,523180,56.005778080794734,2582.9332937380823,3070.755721442612,매도
2022-06-21,253513.71049816627,253713.17053789733,236958.527200489,244737.46875,660409,46.77187358176677,2253.7676439648785,2907.358105944778,매도
2022-06-22,249025.85532935683,251618.83580134853,240349.34375,240349.34375,558736,35.45878977829683,1620.1947195211833,2649.925428657176,매도
2022-06-23,237856.0957917813,242742.8667325768,217411.4418558001,217511.171875,1326100,25.635099956815438,-716.2441999313596,1976.6915029334377,매도
2022-06-24,219904.69494520332,236260.4182880665,217810.36451715376,235462.578125,837138,42.629906497958274,-1106.791394942964,1359.9949233537375,매도
2022-06-27,240249.62039748955,244837.20135983263,236659.33964435148,238354.75,509461,49.369987990199775,-1169.4757759105123,854.1007834979871,매도
2022-06-28,239052.8540985282,247031.25557031887,239052.8540985282,243939.625,473027,53.282273479393474,-759.7935273941257,531.321921318084,매도
2022-06-29,236360.1424146476,237756.36266519825,224392.5402670705,226387.140625,940033,42.78937085240215,-1830.2093472668203,59.015667599370055,매도
2022-06-30,224891.20033482142,226885.80078125,204646.00580357143,209433.046875,1225322,38.54700919938354,-4000.326756495022,-752.8528172218917,매도
2022-07-01,209433.04628463477,211926.2968356423,195670.30324307305,197964.09375,1200317,35.0467267482432,-6569.790123100451,-1916.2402784003355,매도
2022-07-04,199460.03486055776,203848.15562749005,193476.23381474102,200257.875,761029,31.97389464698415,-8325.065462977858,-3198.005315318248,매도
2022-07-05,201155.45693184496,214419.55002650802,200856.26686204053,211627.109375,866188,38.625954015881376,-8698.529003104923,-4298.110052877237,매도
