Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,12147.622960805083,12271.57829713983,11982.349179025423,12188.94140625,109013,16.666692927777746,-86.92930270439683,-55.45103592735826,매도
2022-01-24,12147.6220703125,12312.895839976616,12023.666743064414,12147.6220703125,73652,16.12904701455838,-93.2014534783084,-63.27645178068146,매도
2022-01-25,12064.986860795456,12147.623757102274,11775.757723721592,11817.076171875,139919,13.513542863056173,-116.83678148117906,-74.29876835076722,매도
2022-01-26,11817.076171875,11817.076171875,11817.076171875,11817.076171875,0,15.1515433659401,-133.41207890615442,-86.3937860478119,매도
2022-01-27,11775.756979549633,11817.075425091913,11197.29874195772,11238.6171875,186084,10.869588673690387,-180.9400408884503,-105.64992477268329,매도
2022-01-28,11279.935913085938,11610.48348563058,11279.935913085938,11569.1650390625,60807,18.000043488413638,-194.06066696648668,-123.59062596408513,매도
2022-02-03,11693.120915570176,11899.713157894737,11651.802467105264,11775.7578125,63648,28.00006239641958,-188.3649574095616,-136.69659377445302,매도
2022-02-04,11775.75625066888,12064.9853515625,11734.437807684075,12064.9853515625,69827,35.71426762624907,-162.57157675047893,-141.91976562686543,매도
2022-02-07,11982.348548915377,12106.303878731744,11817.07477582689,12023.6669921875,74500,35.71428269961166,-143.43644822438546,-142.22535701280447,매도
2022-02-08,12023.6669921875,12023.6669921875,12023.6669921875,12023.6669921875,0,39.21565992249564,-126.89578983537831,-139.14123815290276,관망
2022-02-09,12023.6669921875,12023.6669921875,12023.6669921875,12023.6669921875,0,40.81629601474826,-112.55124766680638,-133.7980073616848,관망
2022-02-10,12106.303794547304,12230.259123501713,11982.348465592893,12064.9853515625,52618,45.65215492459138,-97.20115114609507,-126.45087945410596,관망
2022-02-11,11982.348802354602,12106.304134792752,11775.75658162435,11899.7119140625,111346,41.999987709778715,-95.71768235462696,-120.28560664048678,관망
2022-02-14,11817.075454118816,11899.71234540636,11527.846334612412,11693.1201171875,67436,38.8888815941224,-108.087029246557,-117.83997799447009,관망
2022-02-15,11775.757008475044,11775.757008475044,11527.846334612412,11693.1201171875,36726,38.8888815941224,-116.47198144217145,-117.56584844033688,관망
2022-02-16,11734.439275568182,11899.713068181818,11610.483931107956,11817.076171875,44057,42.857173003883325,-112.72413872223296,-116.59600573782453,관망
2022-02-24,11734.43775022242,11734.43775022242,11445.208650745106,11610.482421875,78531,26.08692971449888,-97.74880658811526,-99.59917384004144,관망
2022-02-25,11693.120031222492,11858.393812582526,11610.483140542474,11734.4384765625,42137,36.000026471233326,-96.44580551542276,-98.96829544337288,관망
2022-02-28,11734.4384765625,11734.4384765625,11734.4384765625,11734.4384765625,0,36.000026471233326,-94.31688249484432,-98.03777127578158,관망
2022-03-02,11610.4835734487,11693.120467209901,11445.2097859263,11527.8466796875,81236,30.00003151338295,-107.23459632568847,-99.87751838628866,매도
2022-03-03,11569.164695202464,11734.4384765625,11569.164695202464,11734.4384765625,61898,38.23531047407723,-100.38558780435596,-99.9791491562102,매도
2022-03-04,11734.4384765625,11734.4384765625,11734.4384765625,11734.4384765625,0,43.33334383779431,-93.872490491196,-98.75765505879225,관망
2022-03-07,11486.527513586958,11527.845957880436,11279.935292119566,11403.890625,84685,39.39392637188779,-113.0295844385073,-101.61234449738495,매도
2022-03-08,11279.935546875,11362.572437328297,11197.298656421704,11279.935546875,67616,36.11110564003984,-136.25912109608907,-108.54228935163518,매도
2022-03-10,11279.935546875,11279.935546875,11279.935546875,11279.935546875,0,30.30298689616052,-152.88473349716878,-117.41138177989467,매도
2022-03-11,11403.89169034091,11445.210138494318,11238.617897727274,11362.5732421875,77309,32.35303727029742,-157.76511297869183,-125.48256745680064,매도
2022-03-14,11362.572437328297,11445.209327781595,11238.617101648351,11279.935546875,58027,28.571467159174944,-166.18127264915165,-133.6226630464381,매도
2022-03-15,11279.935546875,11279.935546875,11279.935546875,11279.935546875,0,30.303043325053935,-170.8696773693373,-141.07232549386805,매도
2022-03-16,11362.572978726394,11486.5283203125,11279.936084335657,11486.5283203125,59968,39.47369894146426,-156.5157742485444,-144.16110134730744,매도
2022-03-17,11486.5283203125,11486.5283203125,11486.5283203125,11486.5283203125,0,39.47369894146426,-143.4840321333777,-144.02568448462455,관망
2022-03-18,11527.845872348826,11569.16431633574,11362.572096401173,11445.208984375,94004,44.11767159340056,-134.8626533014085,-142.19304555261024,관망
2022-03-21,11527.84659249442,11651.801932198661,11486.528145926339,11569.1650390625,74284,44.11767159340056,-116.87572961688784,-137.12951009627278,관망
2022-03-22,11610.482421875,11651.800864657473,11527.845536310053,11610.482421875,62085,45.71426642041253,-98.21617277613768,-129.34675376887768,관망
2022-03-25,11693.119735054348,11693.119735054348,11403.890625,11403.890625,192647,38.88890712574524,-64.87802741838459,-98.46015808164292,관망
2022-04-12,11610.48348563058,11610.48348563058,11486.528145926339,11569.1650390625,85150,46.87496999460087,-1.8521767196361907,-9.69644927687443,관망
2022-04-13,11610.484284962322,11651.802734375,11527.847386136968,11651.802734375,46804,46.87504847018853,0.5823007346261875,-7.640698613881518,관망
2022-04-25,12064.985733695652,12519.488620923914,12064.985733695652,12354.21484375,200564,71.7948453783183,158.08541678040456,81.13779246264806,매도
2022-04-26,12436.852626953125,12436.852626953125,12230.260390625,12395.5341796875,75001,72.49998965967326,178.43969664727956,100.59817413901573,매도
2022-05-04,12147.622322003865,12147.622322003865,11941.030105643255,12023.6669921875,58558,57.44678604187117,134.09011258134342,141.7352186853468,매도
2022-05-06,11899.7119140625,11941.03035820855,11775.75658162435,11899.7119140625,69811,57.44681493028928,107.11170046161715,134.81051497795823,매도
2022-05-10,11527.84659249442,11651.801932198661,11238.617466517857,11569.1650390625,109332,43.99998487357381,58.42397748155054,119.53320736811474,매도
