Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,126715.91052158274,127168.46734487411,124453.1264051259,125810.796875,115802,21.95124929369075,-1015.09319553354,-583.1451552878575,매도
2022-01-24,125358.25180065056,125810.80866635688,119927.56941217472,121737.796875,128083,18.000038669146093,-1382.841780263334,-748.9170606842956,매도
2022-01-25,120832.67835582385,121285.23520359848,118117.33726917613,119475.0078125,129746,16.981162803499103,-1781.74372852355,-961.4650893952786,매도
2022-01-26,119475.0078125,119475.0078125,119475.0078125,119475.0078125,0,19.148984622323724,-2063.8507764859824,-1187.0213011699161,매도
2022-01-27,120380.12413194444,121737.79470486111,114044.328125,114044.328125,201768,9.090929064657885,-2596.9664960572263,-1474.183392497367,매도
2022-01-28,115854.55303030302,121285.23520359848,114044.32563920454,119475.0078125,187695,24.242421071987096,-2626.7118870806444,-1708.0596028177008,매도
2022-02-03,121285.234375,122642.9049090485,120380.12068563432,121285.234375,79407,30.769240984046306,-2499.942415151454,-1868.2834201297437,매도
2022-02-04,120832.67725134408,126715.91621863798,120832.67725134408,126263.359375,95006,38.356146566569386,-2042.6848234256904,-1903.4884095034806,매도
2022-02-07,125358.25128348215,127621.03560267857,123548.023828125,126715.921875,84256,39.18918288420651,-1633.9755709669116,-1849.1851544971785,관망
2022-02-08,126715.921875,126715.921875,126715.921875,126715.921875,0,43.28356939896793,-1297.6311849871126,-1738.2193340058752,관망
2022-02-09,126715.921875,126715.921875,126715.921875,126715.921875,0,45.31251517260353,-1021.0837163200486,-1594.11168131974,관망
2022-02-10,127168.47440159574,129431.25864361702,126715.91755319148,127621.03125,107445,49.20633833267478,-731.1141129293828,-1420.8576323505697,관망
2022-02-11,124905.69049815497,125810.80419741698,122190.349400369,122642.90625,124628,41.09590466454261,-846.3659742327,-1305.6109891204337,관망
2022-02-14,120832.67261763308,121737.78627019962,115854.54752851711,119022.4453125,199756,37.97467579931625,-1182.8993008401012,-1281.009167910627,관망
2022-02-15,118569.88707932693,119022.4439002404,116307.10297475962,117664.7734375,101955,38.461536759070334,-1528.5971525455097,-1330.6227314263028,매도
2022-02-16,119475.0028957529,119475.0028957529,116307.10509169885,117212.21875,176275,42.85712876488011,-1813.1684753154113,-1427.2814523300656,매도
2022-02-17,117212.21951593137,117664.77634803922,114496.87852328432,115401.9921875,284358,43.47825434290172,-2145.755035452341,-1571.1542748821228,매도
2022-02-18,114496.88199173153,116759.66622081712,112686.65460846304,116307.109375,190850,45.07042219275892,-2314.456272341282,-1719.9620464528218,매도
2022-02-21,114949.43535539215,115854.54901960785,113139.20802696078,115401.9921875,119243,52.459003867199264,-2486.1220344837056,-1873.3155432166354,매도
2022-02-22,115401.9921875,115401.9921875,115401.9921875,115401.9921875,0,40.81632221665578,-2591.5783408220886,-2017.059211111169,매도
2022-02-23,115401.9921875,115401.9921875,115401.9921875,115401.9921875,0,35.555556408050094,-2644.127395638643,-2142.5364725469735,매도
2022-02-24,112686.64554398147,113591.75916280864,109971.3046875,109971.3046875,166110,10.869579086539105,-3061.205402968757,-2326.3448201552255,매도
2022-02-25,111328.98407101167,117664.77991245137,110876.42722519455,116307.109375,451617,30.50848052732354,-2875.751302145756,-2436.2617866483206,매도
2022-02-28,116307.109375,116307.109375,116307.109375,116307.109375,0,30.50848052732354,-2697.575490199728,-2488.5380990652393,매도
2022-03-02,117664.7790948276,119022.44962284483,116759.66540948277,118117.3359375,155196,34.920635355581055,-2389.8594447141804,-2468.7982683925957,관망
2022-03-03,118569.89587135037,124905.6918339416,116307.11159899634,124000.578125,255898,44.5946015300626,-1673.7239132813556,-2309.7569721024083,관망
2022-03-04,124453.12789351853,124453.12789351853,120380.11643518519,122190.34375,188781,49.25372288291148,-1232.2708470008802,-2094.231098779639,관망
2022-04-06,126263.35227272728,126715.9090909091,123548.01136363637,124453.125,131988,48.837198098663926,1318.3843237983383,1473.14280407527,매도
2022-04-07,123548.01275854318,128526.1378147482,123548.01275854318,125810.796875,251217,58.53653812631945,1178.9645940450282,1414.3071159045214,매도
2022-04-08,126263.35662774726,126715.91346153847,122642.90195741759,123548.015625,152787,31.250091035081013,877.0037422956957,1306.8463737285551,매도
2022-04-11,122190.35070711678,125358.24868841241,121285.23699817518,124000.578125,85317,37.931149432198005,666.3171363109432,1178.7404619143256,매도
2022-04-12,124000.57382246376,126263.35801630434,123095.46014492754,124905.6875,143824,37.93103858810307,565.4468521655799,1056.0816906883151,매도
2022-04-13,125810.79979395604,126263.35662774726,122642.90195741759,123548.015625,106618,35.48389252401503,372.2495222421567,919.3152130440324,매도
2022-04-14,123548.01136363637,124905.68181818182,123095.45454545454,124453.125,86955,44.82759031224589,288.49320221843664,793.1507784407645,매도
2022-04-15,123548.01698369565,125358.24433876811,123095.46014492754,124905.6875,63107,46.66668968398374,255.52223581900762,685.6250477996532,매도
2022-04-18,124000.56958183454,127168.46734487411,123095.4559352518,125810.796875,78147,46.666628304427384,298.67335389780055,608.2346962846651,매도
2022-04-19,126263.3715873195,127168.48536213899,124453.14403768051,125358.2578125,91431,45.161311878913764,293.1156887299003,545.2108864772348,매도
2022-04-20,125810.79979395604,125810.79979395604,123548.015625,123548.015625,118962,36.36363636363636,141.53880294269766,464.476461268,매도
2022-04-21,123548.01136363637,125358.23863636365,123548.01136363637,124453.125,81620,38.235252304105344,93.13229891177616,390.2076225396179,매도
2022-04-22,123548.01136363637,124905.68181818182,123095.45454545454,124453.125,83094,39.393910860012554,54.14668426886783,322.99543035537505,매도
2022-04-25,122642.90353773584,123548.01721698113,119475.00566037736,119927.5625,118402,30.232545068554302,-336.9829073996516,190.99975568717707,매도
2022-04-26,120380.11505149813,121737.78552200375,119022.44458099251,120832.671875,89762,39.47367703751623,-567.5615911866334,39.28747976816724,매도
2022-04-27,117664.7734375,119022.4439002404,116759.65979567308,117664.7734375,129026,28.571405084295023,-993.8210337437922,-167.33423006447777,매도
2022-04-28,118569.890625,118569.890625,116307.10645276717,118569.890625,81478,35.897425682620366,-1244.407760205213,-382.7489420395755,매도
2022-04-29,119022.45096472537,120380.12150804924,118569.89411695075,119475.0078125,74332,37.49998381590004,-1354.495153861717,-577.0981886963212,매도
2022-05-02,118117.33165993346,119475.00213878328,117664.7748336502,119022.4453125,70135,33.333318578606324,-1461.3337427624065,-753.9453026341563,매도
2022-05-03,118569.88923745175,119475.0028957529,116759.66192084942,117212.21875,86977,32.49998921060468,-1672.5212094966992,-937.6604866034378,매도
2022-05-04,117212.22089995156,118117.33457485466,116307.10722504846,116759.6640625,66791,28.205136149981215,-1854.952821452971,-1121.1189556478598,매도
2022-05-06,115401.99651062253,115854.55335968379,114496.8828125,114496.8828125,73345,23.255800882502555,-2156.960916693759,-1328.2873497311382,매도
2022-05-10,112686.65057963709,114044.32106854838,109971.30960181452,112234.09375,107797,17.39130108449352,-2549.232153030738,-1572.476312158255,매도
2022-05-11,111781.54383680555,116759.66927083333,111781.54383680555,114044.328125,123648,24.489798794337304,-2683.291672027204,-1794.639385418281,매도
2022-05-12,112686.65711096939,117212.22566964287,110423.87283163266,110876.4296875,287597,23.076940952832445,-3010.1337622590945,-2037.7382619124007,매도
2022-05-13,111328.98872950819,113139.21618852459,109066.2044057377,110423.875,256646,19.607878977433515,-3267.9526283832092,-2283.7811361182366,매도
2022-05-16,111328.9835625,114044.324625,110876.42671875,113139.2109375,132091,28.07019084726616,-3216.3189489136566,-2470.288699230181,매도
2022-05-17,112234.09645669292,116759.66486220472,112234.09645669292,114949.4375,109011,39.21569025675187,-2994.9433149456017,-2575.219622622101,매도
2022-05-18,114496.8817664749,114496.8817664749,107708.52909257321,108161.0859375,348389,28.12501770133737,-3328.394717417352,-2725.854641866926,매도
2022-05-19,104540.625,105445.73863636365,102277.84090909091,104540.625,276106,27.692319950070058,-3840.27521782415,-2948.7387573966444,매도
2022-05-20,104993.1931330472,106350.86373390557,104088.07939914163,105445.75,178948,27.692339153889392,-4125.40044846604,-3184.071095896257,매도
2022-05-23,105898.29615283613,108161.08025866597,104088.06886817227,107708.5234375,157739,30.88234846115415,-4121.3928942935745,-3371.5354557578107,매도
2022-05-24,107255.96590909091,107708.52272727274,104540.625,104540.625,117155,28.37837932412468,-4323.821065479147,-3561.9925778500765,매도
2022-05-25,105445.74297216156,105445.74297216156,103182.9587882096,103635.515625,103873,29.16667066273709,-4505.295730162514,-3750.6532084298456,매도
2022-05-26,103635.51996145374,104540.6336729075,102277.84939427313,102730.40625,109858,28.76712911867999,-4668.289454074969,-3934.180457650142,매도
2022-05-27,104540.63498641305,104993.19184782608,103182.96440217391,104088.078125,110946,33.80282272309843,-4634.539018410214,-4074.2521698578857,매도
2022-05-30,104993.18322649572,107708.52417200855,104540.62640224358,105898.296875,148682,39.999995067705605,-4410.943252037177,-4141.590386315176,매도
2022-05-31,105898.30118534483,106803.41487068965,104540.6306573276,104993.1875,190826,35.29410122029361,-4257.661072979026,-4164.804523653857,매도
2022-06-02,104993.19184782608,105445.74870923912,104088.078125,104088.078125,75354,38.09522896135408,-4161.217145995324,-4164.087048122004,관망
2022-06-03,104993.18322649572,106803.41052350427,104993.18322649572,105898.296875,124473,42.42421785333527,-3893.8832939130225,-4110.0462972714,관망
2022-06-07,105898.29545454546,105898.29545454546,103635.51136363637,104540.625,95287,34.92061056361088,-3748.3224387978116,-4037.701525567251,관망
2022-06-08,104540.62929858078,104993.18613537117,103182.9587882096,103635.515625,90145,29.508173060596107,-3663.7395361396775,-3962.9091276739355,관망
2022-06-09,103635.50993695176,104088.06674890351,102277.83950109649,103182.953125,115859,38.29784186243999,-3591.80767095623,-3888.6888363242015,관망
2022-06-10,102730.40625,103635.51996145374,101825.29253854626,102730.40625,116776,45.00001294729673,-3530.607044771823,-3817.072478008946,관망
2022-06-13,101372.72800925926,101825.28483072916,97752.2734375,97752.2734375,171039,32.65300442392294,-3839.4317784869927,-3821.5443381047935,매도
2022-06-14,96394.60722108645,97299.72090391355,95489.49353825934,96847.1640625,162382,23.913009213217506,-4109.816409022664,-3879.1987522908303,매도
2022-06-15,96394.59797097156,98204.82516291468,94131.81398104265,95489.484375,169392,26.190431173451728,-4383.098564077809,-3979.97871465167,매도
2022-06-16,95942.04117298577,97752.26836492891,95036.92757701421,95489.484375,98861,27.499948210857767,-4547.256365675275,-4093.4342448594934,매도
2022-06-17,93679.26826584506,96847.16622652582,93226.71141431924,96394.609375,132243,32.49998921060468,-4551.857879572926,-4185.118971804185,매도
2022-06-20,96394.60665760869,96847.1634963768,93226.70878623187,93679.265625,94857,23.255791546093093,-4720.1578908761,-4292.12675562044,매도
2022-06-21,94131.82246376811,95036.93614130434,92321.59510869565,93679.265625,89375,15.384629004357365,-4798.22414371495,-4393.346233240759,매도
2022-06-22,94131.81745049504,94584.37426516089,90511.36293316832,91416.4765625,138981,14.28572015748803,-4985.184408619927,-4511.713868317918,매도
2022-06-23,91416.48655161692,92774.15714396766,89787.28184079601,90963.9296875,180096,14.634156610957632,-5110.9458421817835,-4631.560263091766,매도
2022-06-24,90330.34160060975,93679.26208079269,90330.34160060975,92774.1484375,106241,14.634156610957632,-5006.845351992903,-4706.617280872531,매도
2022-06-27,93679.26696428572,96847.16488095239,93226.71011904762,95036.9375,115969,25.581422424418108,-4687.740910777371,-4702.842006853479,관망
2022-06-28,95036.92757701421,95942.04117298577,93679.25718305686,95489.484375,62914,28.571410956100138,-4348.211652263795,-4631.915935935216,관망
2022-06-29,94131.82463592234,95036.93833434467,92321.59723907767,93226.7109375,102970,26.08696141673981,-4213.133018446708,-4548.159352437207,관망
2022-06-30,94584.37077902842,97752.26836492891,93226.70038507109,95489.484375,196777,33.99996271184334,-3878.8001512043847,-4414.28751219025,관망
2022-07-01,96394.609375,97752.27992957746,95036.93882042254,96394.609375,129748,46.341478818888454,-3500.458088257932,-4231.521627403356,관망
2022-07-04,97299.72527270048,97752.28213443396,95036.94096403303,95942.0546875,82198,47.50001078939532,-3200.242963982484,-4025.2658947187942,관망
2022-07-14,91869.0390625,92321.59590517242,90963.92537715517,91869.0390625,122931,47.50001078939532,-2334.159486891571,-2603.2402994582676,관망
