Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,57345.464554398146,57871.56973379629,56731.67517843364,56819.359375,131781,30.555605054428966,-596.9639989615462,-399.4343425786272,매도
2022-01-24,56731.677054489715,57257.78225128561,54802.62466623814,55416.4140625,172085,28.06127760162741,-720.3352248095252,-465.9550068273294,매도
2022-01-25,55416.416615853654,55679.46922637195,53311.99573170731,53925.78515625,221643,27.093637571426513,-895.300870139552,-554.3111848035848,매도
2022-01-26,53925.78515625,53925.78515625,53925.78515625,53925.78515625,0,28.79586622612139,-1017.6259540325409,-649.1087909683728,매도
2022-01-27,53925.77790271423,54188.83047784942,51645.98891820924,52698.19921875,254423,18.918928030476337,-1176.2137201342703,-756.4637111150278,매도
2022-01-28,52785.88846762663,54101.15146931168,51558.309666053916,53662.73046875,155913,25.13664740672398,-1221.9098538407416,-850.9141134092173,매도
2022-02-03,54714.942733990145,55065.67954638752,53048.94287510263,53399.6796875,168035,29.870168565929788,-1259.5317187759138,-933.5908321522483,매도
2022-02-04,53311.994783306574,54714.94201444623,53048.94217746789,54627.2578125,113266,28.00005583474578,-1192.2876851042238,-985.8118566800086,매도
2022-02-07,56030.205043639646,56030.205043639646,54188.836802768856,54627.2578125,159249,27.516795579780123,-1126.020091087339,-1014.06195247636,매도
2022-02-08,54627.2578125,54627.2578125,54627.2578125,54627.2578125,0,30.82708781684657,-1061.277295180662,-1023.5610940519613,매도
2022-02-09,54627.2578125,54627.2578125,54627.2578125,54627.2578125,0,33.064542204817755,-998.4665104656742,-1018.5183637139737,관망
2022-02-10,58046.93812692901,58222.30652006173,56468.622588734564,56819.359375,219520,47.142862143261496,-785.5190247502833,-971.741778980493,관망
2022-02-11,56205.56971013434,57170.09586740654,55679.46453344042,56293.25390625,131362,48.52940646583563,-647.4858165378901,-906.6939916178436,관망
2022-02-14,54802.62383575937,55854.83421340595,53750.41345811279,53838.09765625,169335,33.783780529652205,-706.3990773281839,-866.5379173298695,관망
2022-02-15,53925.783679418986,54451.88888604746,53048.941668371524,53575.046875,119817,36.49636128327361,-762.9114966436464,-845.7724669700714,관망
2022-02-16,54714.93839427663,56030.20133644674,54451.885805842605,55153.359375,189324,48.920854547564,-684.3570657452583,-813.4393536556504,관망
2022-02-24,53925.78465096393,55153.36348854685,52522.83740801202,52873.57421875,191079,41.52540869139095,-624.4300694716003,-637.0287680240273,관망
2022-02-25,53575.04326630875,54714.937803889785,53399.67487591167,54101.1484375,152303,47.727249716336516,-605.7279899894274,-630.7665802209788,관망
2022-02-28,54101.1484375,54101.1484375,54101.1484375,54101.1484375,0,47.727249716336516,-584.1278656618961,-621.4364150597995,관망
2022-03-02,51207.57144325657,53487.36058285362,50856.83465254934,53311.9921875,226848,44.68082887999591,-620.3603326629163,-621.2211538724234,관망
2022-03-03,53750.41527720949,54276.52048383797,52610.52066284779,53575.046875,133003,34.45376358094434,-621.5655290892391,-621.2900403615179,매도
2022-03-04,53487.36425456811,53925.78527304817,52610.52221760797,52785.890625,108477,33.60654390813815,-675.6583086272876,-632.1651395633033,매도
2022-03-07,51996.7268420048,51996.7268420048,50067.674581424515,50243.04296875,202114,33.33329711451954,-905.128596205097,-686.7636367997465,매도
2022-03-08,49015.469608820924,49716.94323470745,48664.73279587766,49453.890625,217165,31.78291923342306,-1135.0552207638539,-776.429581527544,매도
2022-03-10,49453.890625,49453.890625,49453.890625,49453.890625,0,20.720692879761444,-1302.0644174151385,-881.5637037626545,매도
2022-03-11,50155.36572953345,50506.1025528169,49366.20787714568,49804.62890625,124662,24.545426932368386,-1390.8116294190768,-983.4188344147294,매도
2022-03-14,49804.62682522124,50330.73203816372,48401.679590707965,49541.57421875,168134,19.62616238766448,-1464.7549719582676,-1079.6902551352014,매도
2022-03-15,49541.57421875,49541.57421875,49541.57421875,49541.57421875,0,21.212122575730106,-1505.8928432825487,-1164.9337430667085,매도
2022-03-16,50506.09826086956,50681.4666576087,49716.94047554347,50418.4140625,107827,28.440356098609655,-1452.6706279873106,-1222.482724282287,매도
2022-03-17,50418.4140625,50418.4140625,50418.4140625,50418.4140625,0,28.440356098609655,-1394.3723166953932,-1256.8614094352063,매도
2022-03-18,52259.786760008516,52259.786760008516,51207.57628833049,51470.62890625,95291,42.156873878084035,-1250.6228536831259,-1255.6136760244824,관망
2022-03-21,51733.67820765785,52259.783409769625,51119.88880519412,51382.94140625,98589,32.58430903208982,-1130.5947998105985,-1230.609543910807,관망
2022-03-22,51119.88847096332,52084.41466852867,51119.88847096332,51996.73046875,80011,37.50002900327574,-975.5950911238106,-1179.6060709966953,관망
