Date,open,high,low,close,volume,rsi,macd,signal,action
2022-01-21,127051.2480007382,129044.20875369095,125556.52743602362,126553.0078125,200477,25.806448349597304,-1035.9182902943576,-829.1265552965006,매도
2022-01-24,127549.49193548388,128545.97234122983,123065.33010962702,123563.5703125,245197,23.529411764705884,-1207.7695265942893,-907.6167787845991,매도
2022-01-25,123563.56197916665,124560.04231770833,119079.40045572916,119577.640625,321852,23.529406339036925,-1564.7341540434136,-1042.846635925288,매도
2022-01-26,119577.640625,119577.640625,119577.640625,119577.640625,0,26.666645759767178,-1817.551219970599,-1201.3568862559684,매도
2022-01-27,115591.71759259258,116089.95775462962,106623.39467592593,107619.875,744097,19.277109344182776,-2742.791046228638,-1515.299200202932,매도
2022-01-28,106125.16427460407,112602.28697680996,102637.48281957014,110111.0859375,717089,25.60976775742074,-3260.6772638573166,-1869.4790829756566,매도
2022-02-03,113100.52528599331,114595.2458844866,111605.8046875,111605.8046875,244066,31.16883725154551,-3523.0569336020126,-2204.052016398959,매도
2022-02-04,110609.3244243421,113598.765625,110111.08422423246,113598.765625,140206,23.18841666553041,-3551.700408149278,-2476.090809748543,매도
2022-02-07,114097.01166619956,114097.01166619956,109114.60941003363,111107.5703125,272587,21.91782852191477,-3698.6567914374755,-2722.421606552778,매도
2022-02-08,111107.5703125,111107.5703125,111107.5703125,111107.5703125,0,23.188421935075397,-3768.780264540823,-2932.935995770139,매도
2022-02-09,111107.5703125,111107.5703125,111107.5703125,111107.5703125,0,24.61540725423299,-3778.7598803513247,-3102.9034211592134,매도
2022-02-10,115591.73036504425,116089.97058213496,112602.2890625,112602.2890625,228366,29.230778508983548,-3638.1974263169395,-3210.3682126944664,매도
2022-02-11,109612.84775995575,114097.00971377213,109114.60754286505,112602.2890625,181686,30.158743195920167,-3486.1398657030804,-3265.6897423601727,매도
2022-02-14,109612.84762041284,111107.56826978212,107619.88675458716,108616.3671875,218772,22.388073324285628,-3609.4598456958047,-3334.6104029595053,매도
2022-02-15,108118.12697104357,110609.32805332569,106623.40632167431,108616.3671875,154037,22.72728784590845,-3663.546354290069,-3400.5250907744044,매도
2022-02-16,111107.56655977074,114097.0078125,111107.56655977074,114097.0078125,158785,36.61972328670798,-3268.0612972750096,-3373.991272980222,관망
2022-02-17,114595.25,118082.93152173913,111605.80869565217,114595.25,333522,42.18751837521903,-2885.2034475934342,-3276.1125399001903,관망
2022-02-18,111605.80495689655,116089.96676320043,111107.56475619611,115591.7265625,176016,43.939405098389614,-2479.8723651837354,-3116.7066369971376,관망
2022-02-24,111605.8105022831,113100.53117865296,107619.88869863014,109114.609375,261491,39.53488880915082,-1858.0099883707298,-2356.0951400612953,관망
2022-03-08,111107.56803701457,112104.0484678398,101641.00394417476,102637.484375,986148,41.66666485182983,-1791.379533813495,-1521.6296637523747,매도
2022-03-10,102637.484375,102637.484375,102637.484375,102637.484375,0,31.147540562209358,-2395.9161937273893,-1696.4988707289078,매도
2022-03-11,103135.71650680693,103135.71650680693,99648.03527227722,100644.515625,544035,28.124987749853986,-2995.8276271999785,-1956.3787712307471,매도
2022-03-14,99548.39448780334,99648.04253033367,95761.76887165065,98551.9140625,586248,24.169186866160345,-3593.3720093953016,-2283.791679707109,매도
2022-03-15,98551.9140625,98551.9140625,98551.9140625,98551.9140625,0,24.169186866160345,-4020.169203308833,-2631.0792856343446,매도
2022-03-16,97555.43789062499,98352.622265625,96558.95742187499,97655.0859375,301777,23.529417190377345,-4378.1659289372765,-2980.5063548999774,매도
2022-03-17,97655.0859375,97655.0859375,97655.0859375,97655.0859375,0,23.529417190377345,-4608.452953100103,-3306.1029355863857,매도
2022-03-18,106623.40025177725,106623.40025177725,103633.95912322274,105128.6796875,336805,44.28570116555349,-4152.654569708233,-3475.4162830618116,매도
2022-03-21,106125.169921875,107121.650390625,105128.689453125,105626.9296875,245144,37.09678847051177,-3709.229916104712,-3522.179677099854,매도
2022-03-22,105626.92581775702,107121.6464661215,103633.96495327103,106623.40625,184993,39.062506125073014,-3241.491000396534,-3466.0413007722454,관망
2022-03-23,108616.35958614865,110609.3203125,108118.11940456081,110609.3203125,375260,45.070412892562416,-2525.516901668627,-3277.93470271339,관망
2022-03-24,110111.08797704647,112602.2890625,107619.88689159292,112602.2890625,234448,43.47825691740653,-1779.3684666199842,-2978.219265321696,관망
2022-03-29,118082.93172133264,122567.0936854339,117584.69150309918,120574.1328125,393733,81.0344869536772,777.1444122602406,-1490.9669759810208,매도
2022-03-30,122068.84741108786,122567.08760460251,118581.16605648535,119079.40625,280943,77.04916895014729,1339.1161436266266,-924.9486578787327,매도
2022-03-31,117584.69722510374,121072.3789224585,117584.69722510374,120075.8984375,231838,83.05086412429762,1842.6929556838586,-371.4190097260309,매도
