"종목코드,종목명"
"000250,삼천당제약"
"005290,동진쎄미켐"
"006730,서부T&D"
"007390,네이처셀"
"009520,포스코엠텍"
"014620,성광벤드"
"015750,성우하이텍"
"018290,브이티"
"025320,시노펙스"
"025900,동화기업"
"025980,아난티"
"028300,HLB"
"030520,한글과컴퓨터"
"030530,원익홀딩스"
"319660,피에스케이"
"032190,다우데이타"
"032500,케이엠더블유"
"033100,제룡전기"
"033500,동성화인텍"
"035760,CJ ENM"
"035900,JYP Ent."
"036540,SFA반도체"
"036620,감성코퍼레이션"
"036830,솔브레인홀딩스"
"036930,주성엔지니어링"
"036810,에프에스티"
"038500,삼표시멘트"
"039030,이오테크닉스"
"039200,오스코텍"
"041190,우리기술투자"
"041510,에스엠"
"043260,성호전자"
"048410,현대바이오"
"050890,쏠리드"
"052400,코나아이"
"053800,안랩"
"056080,유진로봇"
"056190,에스에프에이"
"058470,리노공업"
"058610,에스피지"
"060250,NHN한국사이버결제"
"060280,큐렉소"
"060370,LS마린솔루션"
"064760,티씨케이"
"065350,신성델타테크"
"067160,SOOP"
"067310,하나마이크론"
"068760,셀트리온제약"
"069080,웹젠"
"074600,원익 QnC"
"078340,컴투스"
"078600,대주전자재료"
"080220,제주반도체"
"082270,젬백스"
"082920,비츠로셀"
"083650,비에이치아이"
"084370,유진테크"
"085660,차바이오텍"
"086520,에코프로"
"087010,펩트론"
"089030,테크윙"
"090360,로보스타"
"090710,휴림로봇"
"095340,ISC"
"095610,테스"
"096530,씨젠"
"095660,네오위즈"
"098460,고영"
"099320,쎄트렉아이"
"101490,에스앤에스텍"
"101730,위메이드맥스"
"112040,위메이드"
"121600,나노신소재"
"122870,와이지엔터테인번트"
"124500,아이티센"
"131290,티에스이"
"131970,두산테스나"
"137400,피엔티"
"140860,파크시스템스"
"141080,리가켐바이오"
"145020,휴젤"
"194480,데브시스터즈"
"196170,알테오젠"
"213420,덕산네오룩스"
"214150,클래시스"
"214370,케어젠"
"214430,아이쓰리시스템"
"214450,파마리서치"
"215200,메가스터디교육"
"218410,RFHIC"
"222080,씨아이에스"
"222800,심텍"
"225570,넥슨게임즈"
"232140,와이씨"
"240810,원익IPS"
"237690,에스티팜"
"032820,우리기술"
"189300,인텔리안테크"
"241710,코스메카코리아"
"178320,서진시스템"
"183300,코미코"
"161580,필옵틱스"
"003380,하림지주"
"272290,이녹스첨단소재"
"263750,펄어비스"
"171090,선익시스템"
"253450,스튜디오드래곤"
"281740,레이크머티리얼즈"
"166090,하나머티리얼즈"
"042000,카페24"
"253590,네오셈"
"226950,올릭스"
"089970,브이엠"
"108490,로보티즈"
"100790,미래에셋벤처투자"
"247540,에코프로비엠"
"311300,현대무벡스"
"251970,펌텍코리아"
"278280,천보"
"290650,엘앤씨바이오"
"298380,에이비엘바이오"
"319660,피에스케이"
"323280,태성"
"286520,제이앤티씨"
"036830,솔브레인홀딩스"
"293490,카카오게임즈"
"348210,넥스틴"
"277810,레인보우로보틱스"
"352480,씨앤씨인터내셔널"
"195940,HK이노엔"
"257720,실리콘투"
"348370,엔켐"
"376300,디어유"
"211050,인카금융서비스"
"388720,유일로보틱스"
"399720,가온칩스"
"310210,보로노이"
"403870,HPSP"
"328130,루닛"
"358570,지아이이노베이션"
"420770,기가비스"
"445680,큐리옥스바이오시스템즈"
"417200,LS머트리얼즈"
"437730,삼현"
"477840,디엔디파마텍"
"295310,에이치브이엠"
"466100,클로봇"
"472500,오름테라퓨틱"
"370420,한라캐스트"
"0009K0,에임드바이오"
