"basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt"
"20211116,000080,KR7000080002,하이트진로,KOSPI,34200,-150,-.44,34050,34350,33900,157553,5374232100,70133611,2398569496200"
"20211116,000100,KR7000100008,유한양행,KOSPI,59900,-300,-.5,59700,60400,59100,146918,8808636600,69972959,4191380244100"
"20211116,000120,KR7000120006,CJ대한통운,KOSPI,140500,500,.36,139000,142000,137000,21419,3006321500,22812344,3205134332000"
"20211116,000150,KR7000150003,두산,KOSPI,138000,500,.36,136500,140500,131000,149715,20348127500,16523835,2280289230000"
"20211116,000210,KR7000210005,DL,KOSPI,63800,-1000,-1.54,64400,65200,63700,86043,5521871200,20955884,1336985399200"
"20211116,000240,KR7000240002,한국앤컴퍼니,KOSPI,17100,-250,-1.44,17250,17350,16950,94762,1620933600,94935240,1623392604000"
"20211116,000270,KR7000270009,기아,KOSPI,84200,-2300,-2.66,86100,86100,84000,2018714,170324931800,405363347,34131593817400"
"20211116,000660,KR7000660001,SK하이닉스,KOSPI,112000,1000,.9,111000,113000,109000,3767311,420122536000,728002365,81536264880000"
"20211116,000670,KR7000670000,영풍,KOSPI,684000,-14000,-2.01,690000,698000,677000,1601,1097543000,1842040,1259955360000"
"20211116,000720,KR7000720003,현대건설,KOSPI,50200,-600,-1.18,50500,50500,49950,291399,14605940150,111355765,5590059403000"
"20211116,000810,KR7000810002,삼성화재,KOSPI,229000,-500,-.22,230000,230000,224000,88060,20017848000,47374837,10848837673000"
"20211116,000880,KR7000880005,한화,KOSPI,32000,-300,-.93,32150,32400,31900,184578,5920642400,74958735,2398679520000"
"20211116,000990,KR7000990002,DB하이텍,KOSPI,66000,1200,1.85,66100,67700,65000,2494165,165355975800,44398588,2930306808000"
"20211116,001040,KR7001040005,CJ,KOSPI,91700,-3200,-3.37,94300,94500,91000,153116,14104255000,29176998,2675530716600"
"20211116,001430,KR7001430008,세아베스틸,KOSPI,20900,-500,-2.34,21050,21350,20750,88127,1847374850,35862119,749518287100"
"20211116,001440,KR7001440007,대한전선,KOSPI,1955,-40,-2.01,2050,2070,1925,16486049,32422477770,856473009,1674404732595"
"20211116,001450,KR7001450006,현대해상,KOSPI,25800,300,1.18,25500,26000,25150,484646,12382729600,89400000,2306520000000"
"20211116,001680,KR7001680008,대상,KOSPI,24000,-250,-1.03,24000,24150,23850,88417,2122354600,34648025,831552600000"
"20211116,001800,KR7001800002,오리온홀딩스,KOSPI,16100,-150,-.92,16250,16250,16000,53477,863665950,62645422,1008591294200"
"20211116,002030,KR7002030005,아세아,KOSPI,123500,5000,4.22,118000,124000,117000,6941,838741500,2191024,270591464000"
"20211116,002380,KR7002380004,KCC,KOSPI,312000,-14000,-4.29,326500,326500,311000,68231,21501615000,8886471,2772578952000"
"20211116,002790,KR7002790004,아모레G,KOSPI,48600,-50,-.1,48600,48950,48000,100998,4883979850,82458180,4007467548000"
"20211116,002840,KR7002840007,미원상사,KOSPI,208000,0,0,208000,209000,206500,1330,276056000,4970000,1033760000000"
"20211116,003030,KR7003030004,세아제강지주,KOSPI,119000,500,.42,120500,120500,115000,26047,3074494500,4141657,492857183000"
"20211116,003090,KR7003090008,대웅,KOSPI,32450,-300,-.92,32400,32750,32150,41436,1341201850,58141980,1886707251000"
"20211116,003230,KR7003230000,삼양식품,KOSPI,80800,200,.25,79800,81600,79800,22100,1780376600,7533015,608667612000"
"20211116,003240,KR7003240009,태광산업,KOSPI,1006000,27000,2.76,993000,1040000,984000,3312,3350243000,1113400,1120080400000"
"20211116,003490,KR7003490000,대한항공,KOSPI,30450,50,.16,30550,31000,30450,1774387,54338615750,347820825,10591144121250"
"20211116,003550,KR7003550001,LG,KOSPI,89700,-600,-.66,89200,90500,88500,188510,16880123600,157300993,14109899072100"
"20211116,003670,KR7003670007,포스코케미칼,KOSPI,145500,0,0,145500,146500,143500,185936,26956716500,77463220,11270898510000"
"20211116,004000,KR7004000006,롯데정밀화학,KOSPI,82000,1100,1.36,81600,82300,79800,166510,13551238300,25800000,2115600000000"
"20211116,004020,KR7004020004,현대제철,KOSPI,41200,-500,-1.2,41700,42100,40900,532256,22008292250,133445785,5497966342000"
"20211116,004170,KR7004170007,신세계,KOSPI,239000,-3000,-1.24,242000,244500,238000,76122,18272578000,9845181,2352998259000"
"20211116,004370,KR7004370003,농심,KOSPI,290000,6500,2.29,285500,291000,284000,34993,10110131000,6082642,1763966180000"
"20211116,004990,KR7004990008,롯데지주,KOSPI,32950,-100,-.3,32950,33150,32750,53829,1773910550,104909237,3456759359150"
"20211116,005300,KR7005300009,롯데칠성,KOSPI,140000,1500,1.08,137000,141000,136000,25046,3465215500,9278884,1299043760000"
"20211116,005380,KR7005380001,현대차,KOSPI,206500,-2500,-1.2,208000,208000,205000,515194,106237104500,213668187,44122480615500"
"20211116,005420,KR7005420005,코스모화학,KOSPI,16850,100,.6,17050,17300,16800,811166,13819107550,27860157,469443645450"
"20211116,005490,KR7005490008,POSCO,KOSPI,283500,-1500,-.53,283500,287500,280500,219629,62510267500,87186835,24717467722500"
"20211116,005830,KR7005830005,DB손해보험,KOSPI,59800,1400,2.4,57900,60300,57700,225039,13294426800,70800000,4233840000000"
"20211116,005850,KR7005850003,에스엘,KOSPI,32100,-500,-1.53,32450,32450,31650,95966,3069078050,48203277,1547325191700"
"20211116,005930,KR7005930003,삼성전자,KOSPI,71300,-100,-.14,71500,72000,71300,10919239,782118934000,5969782550,425645495815000"
"20211116,005940,KR7005940002,NH투자증권,KOSPI,13300,100,.76,13200,13300,13100,583799,7723664850,297033887,3950550697100"
"20211116,006040,KR7006040000,동원산업,KOSPI,227000,-5000,-2.16,230500,232000,226500,2980,681421000,3677641,834824507000"
"20211116,006260,KR7006260004,LS,KOSPI,57500,-1700,-2.87,59000,59000,57400,158160,9172932700,32200000,1851500000000"
"20211116,006280,KR7006280002,녹십자,KOSPI,242000,3000,1.26,239500,245500,236000,80435,19479396000,11686538,2828142196000"
"20211116,006400,KR7006400006,삼성SDI,KOSPI,760000,6000,.8,754000,765000,752000,201440,152889402000,68764530,52261042800000"
"20211116,006650,KR7006650006,대한유화,KOSPI,182000,-2000,-1.09,182500,186500,181000,32096,5888537000,6500000,1183000000000"
"20211116,006800,KR7006800007,미래에셋증권,KOSPI,9340,80,.86,9200,9340,9170,1283781,11921619270,635316408,5933855250720"
