date,stk_cd,isinCd,itmsNm,mrktCtg,close,vs,fltRt,mkp,hipr,lopr,volume,amount,lstgStCnt,mrktTotAmt,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20211116,000080,KR7000080002,하이트진로,KOSPI,34200,-150,-.44,34050,34350,33900,157553,5374232100,70133611,2398569496200,-34050,34350,-33900,-34200,-150,-0.44,157553,5374,1.53,--29791,--26492,+56192,+63446,+39228,4.64,4.64,4.64,+56192,--26492,--29791,1.53
20211117,000080,KR7000080002,하이트진로,KOSPI,33500,-700,-2.05,34100,34100,33300,250336,8389683250,70133611,2349475968500,-34100,-34100,-33300,-33500,-700,-2.05,250336,8390,1.52,+27782,--26365,--22694,+33049,+6812,4.6,4.6,4.6,--22694,--26365,+27782,1.52
20211118,000080,KR7000080002,하이트진로,KOSPI,32850,-650,-1.94,33150,33400,32800,221704,7318654950,70133611,2303889121350,-33150,-33400,-32800,-32850,-650,-1.94,221704,7319,1.52,+41274,--49668,--14038,+35968,+7566,4.58,4.58,4.58,--14038,--49668,+41274,1.52
20211119,000080,KR7000080002,하이트진로,KOSPI,33550,700,2.13,32900,34000,32900,242559,8152268100,70133611,2352982649050,32900,34000,32900,33550,700,2.13,242559,8152,1.51,--46563,+13342,+33437,+23646,+9524,4.63,4.63,4.63,+33437,+13342,--46563,1.51
20211122,000080,KR7000080002,하이트진로,KOSPI,33250,-300,-.89,33300,33700,32950,222703,7381258650,70133611,2331942565750,-33300,33700,-32950,-33250,-300,-0.89,222703,7381,1.52,+50871,--39491,--22791,--2836,--22652,4.6,4.6,4.6,--22791,--39491,+50871,1.52
20211123,000080,KR7000080002,하이트진로,KOSPI,32750,-500,-1.5,33000,33200,32750,191473,6288623600,70133611,2296875760250,-33000,-33200,-32750,-32750,-500,-1.5,191473,6289,1.5,+68446,--68230,--20655,+16192,--10172,4.57,4.57,4.57,--20655,--68230,+68446,1.5
20211124,000080,KR7000080002,하이트진로,KOSPI,32700,-50,-.15,32800,32800,32250,268380,8698411650,70133611,2293369079700,32800,32800,-32250,-32700,-50,-0.15,268380,8698,1.51,--4587,--36119,+34262,+31715,+29815,4.62,4.62,4.62,+34262,--36119,--4587,1.51
20211125,000080,KR7000080002,하이트진로,KOSPI,31850,-850,-2.6,32500,32600,31750,329744,10543513750,70133611,2233755510350,-32500,-32600,-31750,-31850,-850,-2.6,329744,10544,1.52,+161987,--69829,--95952,--100678,--12401,4.48,4.48,4.48,--95952,--69829,+161987,1.52
20211126,000080,KR7000080002,하이트진로,KOSPI,30950,-900,-2.83,31650,31900,30900,410733,12814292500,70133611,2170635260450,-31650,31900,-30900,-30950,-900,-2.83,410733,12814,1.47,+94874,--149963,+45152,+2163,+58941,4.54,4.54,4.54,+45152,--149963,+94874,1.47
20211129,000080,KR7000080002,하이트진로,KOSPI,30300,-650,-2.1,29700,30600,29600,367294,11126739700,70133611,2125048413300,-29700,-30600,-29600,-30300,-650,-2.1,367294,11127,1.5,--31385,--31011,+52103,+40894,+75161,4.62,4.62,4.62,+52103,--31011,--31385,1.5
